### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11728]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11728 (seed = 43143) ...
  1/200   risk = 0.067  time = 0   
  5/200   risk = 0.053  time = 496   
 10/200   risk = 0.041  time = 1037   
 15/200   risk = 0.033  time = 1551   
 20/200   risk = 0.028  time = 2064   
 25/200   risk = 0.025  time = 2586   
 30/200   risk = 0.023  time = 3142   
 35/200   risk = 0.022  time = 3695   
 40/200   risk = 0.021  time = 4192   
 45/200   risk = 0.021  time = 4715   
 50/200   risk = 0.02  time = 5255   
 55/200   risk = 0.02  time = 5793   
 60/200   risk = 0.02  time = 6340   
 65/200   risk = 0.02  time = 6888   
 70/200   risk = 0.02  time = 7419   
 75/200   risk = 0.02  time = 7993   
 80/200   risk = 0.02  time = 8541   
 85/200   risk = 0.02  time = 9107   
 90/200   risk = 0.02  time = 9674   
 95/200   risk = 0.02  time = 10220   
100/200   risk = 0.02  time = 10778   
105/200   risk = 0.02  time = 11331   
110/200   risk = 0.02  time = 11897   
115/200   risk = 0.02  time = 12496   
120/200   risk = 0.02  time = 13048   
125/200   risk = 0.02  time = 13601   
130/200   risk = 0.02  time = 14158   
135/200   risk = 0.02  time = 14704   
140/200   risk = 0.02  time = 15243   
145/200   risk = 0.02  time = 15808   
150/200   risk = 0.02  time = 16379   
155/200   risk = 0.02  time = 16947   
160/200   risk = 0.02  time = 17505   
165/200   risk = 0.02  time = 18074   
170/200   risk = 0.02  time = 18617   
175/200   risk = 0.02  time = 19160   
180/200   risk = 0.019  time = 19693   
185/200   risk = 0.019  time = 20205   
190/200   risk = 0.019  time = 20752   
195/200   risk = 0.019  time = 21313   
200/200   risk = 0.019  time = 21887   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.019


### [bt]: Job terminated successfully [batchtools job.id=11728]
### [bt]: Calculation finished!
