### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7909]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7909 (seed = 39324) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.12  time = 2440   
 10/200   risk = 0.087  time = 5532   
 15/200   risk = 0.064  time = 8653   
 20/200   risk = 0.049  time = 11775   
 25/200   risk = 0.04  time = 14826   
 30/200   risk = 0.033  time = 17875   
 35/200   risk = 0.029  time = 21075   
 40/200   risk = 0.027  time = 24323   
 45/200   risk = 0.025  time = 27536   
 50/200   risk = 0.024  time = 30595   
 55/200   risk = 0.023  time = 33652   
 60/200   risk = 0.022  time = 36817   
 65/200   risk = 0.022  time = 39967   
 70/200   risk = 0.022  time = 43335   
 75/200   risk = 0.021  time = 46429   
 80/200   risk = 0.021  time = 49529   
 85/200   risk = 0.021  time = 52707   
 90/200   risk = 0.021  time = 55854   
 95/200   risk = 0.021  time = 59238   
100/200   risk = 0.021  time = 62384   
105/200   risk = 0.021  time = 65788   
110/200   risk = 0.021  time = 68965   
115/200   risk = 0.021  time = 72112   
120/200   risk = 0.021  time = 75473   
125/200   risk = 0.021  time = 78585   
130/200   risk = 0.021  time = 81670   
135/200   risk = 0.021  time = 84861   
140/200   risk = 0.021  time = 88088   
145/200   risk = 0.021  time = 91394   
150/200   risk = 0.021  time = 94636   
155/200   risk = 0.021  time = 98221   
160/200   risk = 0.021  time = 101436   
165/200   risk = 0.021  time = 104653   
170/200   risk = 0.021  time = 108477   
175/200   risk = 0.021  time = 111854   
180/200   risk = 0.021  time = 115022   
185/200   risk = 0.02  time = 118254   
190/200   risk = 0.02  time = 121336   
195/200   risk = 0.02  time = 124986   
200/200   risk = 0.02  time = 128185   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=7909]
### [bt]: Calculation finished!
