### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3556]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3556 (seed = 34971) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.24  time = 2701   
 10/200   risk = 0.21  time = 5159   
 15/200   risk = 0.19  time = 11255   
 20/200   risk = 0.17  time = 14350   
 25/200   risk = 0.16  time = 16384   
 30/200   risk = 0.15  time = 18329   
 35/200   risk = 0.14  time = 24056   
 40/200   risk = 0.13  time = 27541   
 45/200   risk = 0.13  time = 31393   
 50/200   risk = 0.12  time = 36965   
 55/200   risk = 0.12  time = 41888   
 60/200   risk = 0.12  time = 48621   
 65/200   risk = 0.12  time = 59075   
 70/200   risk = 0.12  time = 70864   
 75/200   risk = 0.11  time = 75162   
 80/200   risk = 0.11  time = 82681   
 85/200   risk = 0.11  time = 86826   
 90/200   risk = 0.11  time = 91330   
 95/200   risk = 0.11  time = 99762   
100/200   risk = 0.11  time = 103898   
105/200   risk = 0.11  time = 107739   
110/200   risk = 0.11  time = 112268   
115/200   risk = 0.11  time = 123167   
120/200   risk = 0.11  time = 125185   
125/200   risk = 0.11  time = 126772   
130/200   risk = 0.11  time = 128217   
135/200   risk = 0.11  time = 130935   
140/200   risk = 0.11  time = 141188   
145/200   risk = 0.11  time = 144066   
150/200   risk = 0.11  time = 149158   
155/200   risk = 0.11  time = 155663   
160/200   risk = 0.11  time = 158311   
165/200   risk = 0.11  time = 160300   
170/200   risk = 0.11  time = 162879   
175/200   risk = 0.11  time = 165286   
180/200   risk = 0.11  time = 167259   
185/200   risk = 0.11  time = 169110   
190/200   risk = 0.11  time = 171874   
195/200   risk = 0.11  time = 174787   
200/200   risk = 0.11  time = 181739   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.11


### [bt]: Job terminated successfully [batchtools job.id=3556]
### [bt]: Calculation finished!
