### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=474]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 474 (seed = 31889) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.23  time = 276   
 10/200   risk = 0.19  time = 454   
 15/200   risk = 0.16  time = 528   
 20/200   risk = 0.15  time = 597   
 25/200   risk = 0.13  time = 658   
 30/200   risk = 0.12  time = 720   
 35/200   risk = 0.12  time = 782   
 40/200   risk = 0.11  time = 849   
 45/200   risk = 0.11  time = 918   
 50/200   risk = 0.1  time = 995   
 55/200   risk = 0.1  time = 1060   
 60/200   risk = 0.098  time = 1126   
 65/200   risk = 0.097  time = 1200   
 70/200   risk = 0.095  time = 1264   
 75/200   risk = 0.094  time = 1328   
 80/200   risk = 0.093  time = 1414   
 85/200   risk = 0.092  time = 1484   
 90/200   risk = 0.091  time = 1552   
 95/200   risk = 0.091  time = 1626   
100/200   risk = 0.09  time = 1698   
105/200   risk = 0.089  time = 1768   
110/200   risk = 0.089  time = 1839   
115/200   risk = 0.088  time = 1910   
120/200   risk = 0.088  time = 1985   
125/200   risk = 0.088  time = 2064   
130/200   risk = 0.087  time = 2143   
135/200   risk = 0.087  time = 2223   
140/200   risk = 0.087  time = 2301   
145/200   risk = 0.086  time = 2376   
150/200   risk = 0.086  time = 2452   
155/200   risk = 0.086  time = 2531   
160/200   risk = 0.086  time = 2615   
165/200   risk = 0.085  time = 2698   
170/200   risk = 0.085  time = 2786   
175/200   risk = 0.085  time = 2875   
180/200   risk = 0.085  time = 2958   
185/200   risk = 0.085  time = 3040   
190/200   risk = 0.085  time = 3122   
195/200   risk = 0.084  time = 3203   
200/200   risk = 0.084  time = 3316   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.084


### [bt]: Job terminated successfully [batchtools job.id=474]
### [bt]: Calculation finished!
