### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4145]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4145 (seed = 35560) ...
  1/200   risk = 0.2  time = 0   
  5/200   risk = 0.15  time = 591   
 10/200   risk = 0.11  time = 1217   
 15/200   risk = 0.081  time = 1848   
 20/200   risk = 0.063  time = 2477   
 25/200   risk = 0.052  time = 3088   
 30/200   risk = 0.044  time = 3707   
 35/200   risk = 0.039  time = 4329   
 40/200   risk = 0.035  time = 4963   
 45/200   risk = 0.032  time = 6506   
 50/200   risk = 0.03  time = 7159   
 55/200   risk = 0.029  time = 7846   
 60/200   risk = 0.028  time = 8476   
 65/200   risk = 0.027  time = 9022   
 70/200   risk = 0.026  time = 9402   
 75/200   risk = 0.026  time = 9773   
 80/200   risk = 0.025  time = 10143   
 85/200   risk = 0.025  time = 10516   
 90/200   risk = 0.024  time = 10888   
 95/200   risk = 0.024  time = 11274   
100/200   risk = 0.024  time = 11795   
105/200   risk = 0.024  time = 12236   
110/200   risk = 0.023  time = 12615   
115/200   risk = 0.023  time = 12975   
120/200   risk = 0.023  time = 13341   
125/200   risk = 0.023  time = 13702   
130/200   risk = 0.023  time = 14070   
135/200   risk = 0.023  time = 14436   
140/200   risk = 0.023  time = 14923   
145/200   risk = 0.022  time = 15293   
150/200   risk = 0.022  time = 15661   
155/200   risk = 0.022  time = 16031   
160/200   risk = 0.022  time = 16401   
165/200   risk = 0.022  time = 16772   
170/200   risk = 0.022  time = 17143   
175/200   risk = 0.022  time = 17517   
180/200   risk = 0.022  time = 17904   
185/200   risk = 0.022  time = 18361   
190/200   risk = 0.022  time = 18852   
195/200   risk = 0.022  time = 19230   
200/200   risk = 0.022  time = 19606   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=4145]
### [bt]: Calculation finished!
