### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=13102]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 13102 (seed = 44517) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.12  time = 2807   
 10/200   risk = 0.082  time = 6213   
 15/200   risk = 0.058  time = 9414   
 20/200   risk = 0.044  time = 12584   
 25/200   risk = 0.035  time = 15795   
 30/200   risk = 0.03  time = 19383   
 35/200   risk = 0.026  time = 22767   
 40/200   risk = 0.024  time = 26077   
 45/200   risk = 0.023  time = 29388   
 50/200   risk = 0.022  time = 32664   
 55/200   risk = 0.022  time = 35961   
 60/200   risk = 0.021  time = 39323   
 65/200   risk = 0.021  time = 42703   
 70/200   risk = 0.021  time = 45962   
 75/200   risk = 0.021  time = 49209   
 80/200   risk = 0.021  time = 52597   
 85/200   risk = 0.021  time = 55927   
 90/200   risk = 0.021  time = 59221   
 95/200   risk = 0.02  time = 62515   
100/200   risk = 0.02  time = 65817   
105/200   risk = 0.02  time = 69098   
110/200   risk = 0.02  time = 72377   
115/200   risk = 0.02  time = 75538   
120/200   risk = 0.02  time = 78835   
125/200   risk = 0.02  time = 82332   
130/200   risk = 0.02  time = 85635   
135/200   risk = 0.02  time = 89095   
140/200   risk = 0.02  time = 92454   
145/200   risk = 0.02  time = 95696   
150/200   risk = 0.02  time = 98984   
155/200   risk = 0.02  time = 102479   
160/200   risk = 0.02  time = 105753   
165/200   risk = 0.02  time = 109019   
170/200   risk = 0.02  time = 112271   
175/200   risk = 0.02  time = 115398   
180/200   risk = 0.02  time = 118693   
185/200   risk = 0.02  time = 122013   
190/200   risk = 0.02  time = 125242   
195/200   risk = 0.02  time = 128448   
200/200   risk = 0.02  time = 131594   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=13102]
### [bt]: Calculation finished!
