### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7668]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7668 (seed = 39083) ...
  1/200   risk = 0.14  time = 0   
  5/200   risk = 0.1  time = 141   
 10/200   risk = 0.073  time = 218   
 15/200   risk = 0.055  time = 290   
 20/200   risk = 0.043  time = 362   
 25/200   risk = 0.035  time = 435   
 30/200   risk = 0.031  time = 509   
 35/200   risk = 0.027  time = 585   
 40/200   risk = 0.025  time = 661   
 45/200   risk = 0.024  time = 740   
 50/200   risk = 0.023  time = 818   
 55/200   risk = 0.023  time = 896   
 60/200   risk = 0.022  time = 976   
 65/200   risk = 0.022  time = 1062   
 70/200   risk = 0.022  time = 1148   
 75/200   risk = 0.021  time = 1233   
 80/200   risk = 0.021  time = 1319   
 85/200   risk = 0.021  time = 1421   
 90/200   risk = 0.021  time = 1510   
 95/200   risk = 0.021  time = 1600   
100/200   risk = 0.021  time = 1700   
105/200   risk = 0.021  time = 1784   
110/200   risk = 0.021  time = 1870   
115/200   risk = 0.021  time = 1963   
120/200   risk = 0.021  time = 2053   
125/200   risk = 0.021  time = 2144   
130/200   risk = 0.021  time = 2237   
135/200   risk = 0.021  time = 2331   
140/200   risk = 0.021  time = 2425   
145/200   risk = 0.021  time = 2519   
150/200   risk = 0.021  time = 2613   
155/200   risk = 0.021  time = 2708   
160/200   risk = 0.021  time = 2807   
165/200   risk = 0.021  time = 2906   
170/200   risk = 0.021  time = 3003   
175/200   risk = 0.021  time = 3102   
180/200   risk = 0.021  time = 3204   
185/200   risk = 0.021  time = 3305   
190/200   risk = 0.021  time = 3407   
195/200   risk = 0.021  time = 3510   
200/200   risk = 0.021  time = 3618   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=7668]
### [bt]: Calculation finished!
