### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6627]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6627 (seed = 38042) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 1668   
 10/200   risk = 0.086  time = 3404   
 15/200   risk = 0.064  time = 5183   
 20/200   risk = 0.051  time = 7070   
 25/200   risk = 0.042  time = 9053   
 30/200   risk = 0.036  time = 10811   
 35/200   risk = 0.033  time = 12611   
 40/200   risk = 0.03  time = 14345   
 45/200   risk = 0.028  time = 16235   
 50/200   risk = 0.027  time = 18254   
 55/200   risk = 0.027  time = 20065   
 60/200   risk = 0.026  time = 22048   
 65/200   risk = 0.025  time = 23868   
 70/200   risk = 0.025  time = 25721   
 75/200   risk = 0.025  time = 27463   
 80/200   risk = 0.024  time = 29456   
 85/200   risk = 0.024  time = 31301   
 90/200   risk = 0.024  time = 33184   
 95/200   risk = 0.024  time = 35004   
100/200   risk = 0.023  time = 37094   
105/200   risk = 0.023  time = 38962   
110/200   risk = 0.023  time = 40801   
115/200   risk = 0.023  time = 42782   
120/200   risk = 0.023  time = 44531   
125/200   risk = 0.023  time = 46339   
130/200   risk = 0.023  time = 48093   
135/200   risk = 0.022  time = 50000   
140/200   risk = 0.022  time = 51742   
145/200   risk = 0.022  time = 53602   
150/200   risk = 0.022  time = 55529   
155/200   risk = 0.022  time = 57661   
160/200   risk = 0.022  time = 59767   
165/200   risk = 0.022  time = 61778   
170/200   risk = 0.022  time = 63864   
175/200   risk = 0.022  time = 65730   
180/200   risk = 0.021  time = 67482   
185/200   risk = 0.021  time = 69313   
190/200   risk = 0.021  time = 71194   
195/200   risk = 0.021  time = 73013   
200/200   risk = 0.021  time = 74855   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=6627]
### [bt]: Calculation finished!
