### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6680]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6680 (seed = 38095) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 418   
 10/200   risk = 0.088  time = 838   
 15/200   risk = 0.066  time = 1239   
 20/200   risk = 0.052  time = 1626   
 25/200   risk = 0.043  time = 2007   
 30/200   risk = 0.037  time = 2382   
 35/200   risk = 0.034  time = 2781   
 40/200   risk = 0.031  time = 3170   
 45/200   risk = 0.03  time = 3548   
 50/200   risk = 0.029  time = 3927   
 55/200   risk = 0.028  time = 4276   
 60/200   risk = 0.027  time = 4624   
 65/200   risk = 0.027  time = 4974   
 70/200   risk = 0.026  time = 5326   
 75/200   risk = 0.026  time = 5678   
 80/200   risk = 0.026  time = 6033   
 85/200   risk = 0.025  time = 6385   
 90/200   risk = 0.025  time = 6742   
 95/200   risk = 0.025  time = 7121   
100/200   risk = 0.025  time = 7503   
105/200   risk = 0.024  time = 7883   
110/200   risk = 0.024  time = 8292   
115/200   risk = 0.024  time = 8695   
120/200   risk = 0.024  time = 9096   
125/200   risk = 0.024  time = 9498   
130/200   risk = 0.024  time = 9908   
135/200   risk = 0.023  time = 10345   
140/200   risk = 0.023  time = 10771   
145/200   risk = 0.023  time = 11187   
150/200   risk = 0.023  time = 11494   
155/200   risk = 0.023  time = 11774   
160/200   risk = 0.023  time = 12069   
165/200   risk = 0.023  time = 12359   
170/200   risk = 0.023  time = 12648   
175/200   risk = 0.022  time = 12937   
180/200   risk = 0.022  time = 13239   
185/200   risk = 0.022  time = 13523   
190/200   risk = 0.022  time = 13807   
195/200   risk = 0.022  time = 14093   
200/200   risk = 0.022  time = 14388   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=6680]
### [bt]: Calculation finished!
