### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9542]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9542 (seed = 40957) ...
  1/200   risk = 0.12  time = 0   
  5/200   risk = 0.089  time = 8344   
 10/200   risk = 0.065  time = 15048   
 15/200   risk = 0.05  time = 21517   
 20/200   risk = 0.041  time = 28232   
 25/200   risk = 0.035  time = 35117   
 30/200   risk = 0.031  time = 41838   
 35/200   risk = 0.028  time = 48859   
 40/200   risk = 0.027  time = 55613   
 45/200   risk = 0.026  time = 61984   
 50/200   risk = 0.025  time = 68153   
 55/200   risk = 0.024  time = 73919   
 60/200   risk = 0.024  time = 80048   
 65/200   risk = 0.024  time = 85360   
 70/200   risk = 0.023  time = 89042   
 75/200   risk = 0.023  time = 92688   
 80/200   risk = 0.023  time = 96188   
 85/200   risk = 0.023  time = 99676   
 90/200   risk = 0.023  time = 103229   
 95/200   risk = 0.022  time = 106982   
100/200   risk = 0.022  time = 110699   
105/200   risk = 0.022  time = 114456   
110/200   risk = 0.022  time = 118209   
115/200   risk = 0.022  time = 121981   
120/200   risk = 0.022  time = 125664   
125/200   risk = 0.022  time = 129389   
130/200   risk = 0.022  time = 133180   
135/200   risk = 0.022  time = 137047   
140/200   risk = 0.022  time = 140804   
145/200   risk = 0.022  time = 145114   
150/200   risk = 0.022  time = 150161   
155/200   risk = 0.021  time = 155343   
160/200   risk = 0.021  time = 159326   
165/200   risk = 0.021  time = 163226   
170/200   risk = 0.021  time = 167002   
175/200   risk = 0.021  time = 170836   
180/200   risk = 0.021  time = 174708   
185/200   risk = 0.021  time = 178640   
190/200   risk = 0.021  time = 183987   
195/200   risk = 0.021  time = 188710   
200/200   risk = 0.021  time = 193072   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=9542]
### [bt]: Calculation finished!
