### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=467]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 467 (seed = 31882) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.24  time = 371   
 10/200   risk = 0.2  time = 728   
 15/200   risk = 0.18  time = 1011   
 20/200   risk = 0.16  time = 1107   
 25/200   risk = 0.15  time = 1200   
 30/200   risk = 0.14  time = 1310   
 35/200   risk = 0.13  time = 1411   
 40/200   risk = 0.13  time = 1508   
 45/200   risk = 0.12  time = 1608   
 50/200   risk = 0.12  time = 1707   
 55/200   risk = 0.12  time = 1810   
 60/200   risk = 0.11  time = 1914   
 65/200   risk = 0.11  time = 2022   
 70/200   risk = 0.11  time = 2124   
 75/200   risk = 0.11  time = 2226   
 80/200   risk = 0.11  time = 2340   
 85/200   risk = 0.11  time = 2437   
 90/200   risk = 0.11  time = 2513   
 95/200   risk = 0.11  time = 2585   
100/200   risk = 0.11  time = 2654   
105/200   risk = 0.11  time = 2724   
110/200   risk = 0.11  time = 2793   
115/200   risk = 0.11  time = 2864   
120/200   risk = 0.11  time = 2938   
125/200   risk = 0.11  time = 3010   
130/200   risk = 0.11  time = 3085   
135/200   risk = 0.11  time = 3159   
140/200   risk = 0.1  time = 3232   
145/200   risk = 0.1  time = 3307   
150/200   risk = 0.1  time = 3382   
155/200   risk = 0.1  time = 3456   
160/200   risk = 0.1  time = 3532   
165/200   risk = 0.1  time = 3609   
170/200   risk = 0.1  time = 3690   
175/200   risk = 0.1  time = 3770   
180/200   risk = 0.1  time = 3850   
185/200   risk = 0.1  time = 3929   
190/200   risk = 0.1  time = 4008   
195/200   risk = 0.1  time = 4089   
200/200   risk = 0.1  time = 4173   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.1


### [bt]: Job terminated successfully [batchtools job.id=467]
### [bt]: Calculation finished!
