### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7602]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7602 (seed = 39017) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 412   
 10/200   risk = 0.086  time = 697   
 15/200   risk = 0.065  time = 968   
 20/200   risk = 0.051  time = 1249   
 25/200   risk = 0.041  time = 1514   
 30/200   risk = 0.035  time = 1787   
 35/200   risk = 0.031  time = 2058   
 40/200   risk = 0.029  time = 2332   
 45/200   risk = 0.027  time = 2617   
 50/200   risk = 0.025  time = 2931   
 55/200   risk = 0.025  time = 3242   
 60/200   risk = 0.024  time = 3524   
 65/200   risk = 0.023  time = 3805   
 70/200   risk = 0.023  time = 4094   
 75/200   risk = 0.023  time = 4389   
 80/200   risk = 0.023  time = 4691   
 85/200   risk = 0.023  time = 4986   
 90/200   risk = 0.022  time = 5269   
 95/200   risk = 0.022  time = 5566   
100/200   risk = 0.022  time = 5879   
105/200   risk = 0.022  time = 6168   
110/200   risk = 0.022  time = 6464   
115/200   risk = 0.022  time = 6753   
120/200   risk = 0.022  time = 7047   
125/200   risk = 0.022  time = 7334   
130/200   risk = 0.022  time = 7632   
135/200   risk = 0.022  time = 7925   
140/200   risk = 0.022  time = 8219   
145/200   risk = 0.022  time = 8519   
150/200   risk = 0.022  time = 8830   
155/200   risk = 0.022  time = 9145   
160/200   risk = 0.022  time = 9446   
165/200   risk = 0.022  time = 9740   
170/200   risk = 0.022  time = 10039   
175/200   risk = 0.022  time = 10328   
180/200   risk = 0.022  time = 10634   
185/200   risk = 0.022  time = 10939   
190/200   risk = 0.022  time = 11250   
195/200   risk = 0.022  time = 11579   
200/200   risk = 0.022  time = 11894   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=7602]
### [bt]: Calculation finished!
