### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12860]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12860 (seed = 44275) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.12  time = 121   
 10/200   risk = 0.081  time = 195   
 15/200   risk = 0.058  time = 270   
 20/200   risk = 0.045  time = 332   
 25/200   risk = 0.036  time = 390   
 30/200   risk = 0.031  time = 452   
 35/200   risk = 0.027  time = 512   
 40/200   risk = 0.025  time = 578   
 45/200   risk = 0.024  time = 640   
 50/200   risk = 0.023  time = 702   
 55/200   risk = 0.023  time = 781   
 60/200   risk = 0.022  time = 853   
 65/200   risk = 0.022  time = 924   
 70/200   risk = 0.022  time = 991   
 75/200   risk = 0.022  time = 1058   
 80/200   risk = 0.022  time = 1123   
 85/200   risk = 0.022  time = 1195   
 90/200   risk = 0.022  time = 1264   
 95/200   risk = 0.021  time = 1338   
100/200   risk = 0.021  time = 1408   
105/200   risk = 0.021  time = 1478   
110/200   risk = 0.021  time = 1553   
115/200   risk = 0.021  time = 1625   
120/200   risk = 0.021  time = 1703   
125/200   risk = 0.021  time = 1780   
130/200   risk = 0.021  time = 1866   
135/200   risk = 0.021  time = 1945   
140/200   risk = 0.021  time = 2026   
145/200   risk = 0.021  time = 2105   
150/200   risk = 0.021  time = 2182   
155/200   risk = 0.021  time = 2262   
160/200   risk = 0.021  time = 2340   
165/200   risk = 0.021  time = 2418   
170/200   risk = 0.021  time = 2496   
175/200   risk = 0.021  time = 2576   
180/200   risk = 0.021  time = 2658   
185/200   risk = 0.021  time = 2739   
190/200   risk = 0.021  time = 2821   
195/200   risk = 0.021  time = 2909   
200/200   risk = 0.021  time = 2994   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=12860]
### [bt]: Calculation finished!
