### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=13047]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 13047 (seed = 44462) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 1260   
 10/200   risk = 0.08  time = 2766   
 15/200   risk = 0.058  time = 4199   
 20/200   risk = 0.044  time = 5636   
 25/200   risk = 0.035  time = 7110   
 30/200   risk = 0.03  time = 8572   
 35/200   risk = 0.027  time = 9999   
 40/200   risk = 0.025  time = 11431   
 45/200   risk = 0.023  time = 12861   
 50/200   risk = 0.023  time = 14299   
 55/200   risk = 0.022  time = 15796   
 60/200   risk = 0.022  time = 17225   
 65/200   risk = 0.022  time = 18682   
 70/200   risk = 0.021  time = 20156   
 75/200   risk = 0.021  time = 21648   
 80/200   risk = 0.021  time = 23084   
 85/200   risk = 0.021  time = 24523   
 90/200   risk = 0.021  time = 25954   
 95/200   risk = 0.021  time = 27850   
100/200   risk = 0.021  time = 30283   
105/200   risk = 0.021  time = 32713   
110/200   risk = 0.021  time = 35043   
115/200   risk = 0.021  time = 37366   
120/200   risk = 0.021  time = 39768   
125/200   risk = 0.021  time = 42170   
130/200   risk = 0.021  time = 44560   
135/200   risk = 0.021  time = 46883   
140/200   risk = 0.021  time = 49175   
145/200   risk = 0.021  time = 51464   
150/200   risk = 0.021  time = 53757   
155/200   risk = 0.02  time = 55999   
160/200   risk = 0.02  time = 58230   
165/200   risk = 0.02  time = 60512   
170/200   risk = 0.02  time = 62734   
175/200   risk = 0.02  time = 64976   
180/200   risk = 0.02  time = 67264   
185/200   risk = 0.02  time = 69465   
190/200   risk = 0.02  time = 71660   
195/200   risk = 0.02  time = 73885   
200/200   risk = 0.02  time = 76151   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=13047]
### [bt]: Calculation finished!
