### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5841]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5841 (seed = 37256) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.2  time = 1479   
 10/200   risk = 0.14  time = 3275   
 15/200   risk = 0.098  time = 5149   
 20/200   risk = 0.072  time = 6879   
 25/200   risk = 0.056  time = 8559   
 30/200   risk = 0.046  time = 10265   
 35/200   risk = 0.039  time = 12140   
 40/200   risk = 0.034  time = 13885   
 45/200   risk = 0.031  time = 15592   
 50/200   risk = 0.028  time = 17309   
 55/200   risk = 0.027  time = 18971   
 60/200   risk = 0.026  time = 20630   
 65/200   risk = 0.025  time = 22476   
 70/200   risk = 0.024  time = 24134   
 75/200   risk = 0.024  time = 25782   
 80/200   risk = 0.024  time = 27448   
 85/200   risk = 0.023  time = 29097   
 90/200   risk = 0.023  time = 30753   
 95/200   risk = 0.023  time = 32396   
100/200   risk = 0.023  time = 34043   
105/200   risk = 0.023  time = 35698   
110/200   risk = 0.023  time = 37353   
115/200   risk = 0.023  time = 39140   
120/200   risk = 0.023  time = 40812   
125/200   risk = 0.022  time = 42473   
130/200   risk = 0.022  time = 44157   
135/200   risk = 0.022  time = 45806   
140/200   risk = 0.022  time = 47468   
145/200   risk = 0.022  time = 49124   
150/200   risk = 0.022  time = 50793   
155/200   risk = 0.022  time = 52476   
160/200   risk = 0.022  time = 54126   
165/200   risk = 0.022  time = 56026   
170/200   risk = 0.022  time = 57746   
175/200   risk = 0.022  time = 59500   
180/200   risk = 0.022  time = 61204   
185/200   risk = 0.022  time = 62952   
190/200   risk = 0.022  time = 64644   
195/200   risk = 0.022  time = 66247   
200/200   risk = 0.022  time = 67861   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=5841]
### [bt]: Calculation finished!
