### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=557]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 557 (seed = 31972) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.23  time = 184   
 10/200   risk = 0.18  time = 341   
 15/200   risk = 0.15  time = 465   
 20/200   risk = 0.13  time = 585   
 25/200   risk = 0.12  time = 702   
 30/200   risk = 0.11  time = 827   
 35/200   risk = 0.099  time = 951   
 40/200   risk = 0.094  time = 1096   
 45/200   risk = 0.089  time = 1232   
 50/200   risk = 0.086  time = 1362   
 55/200   risk = 0.084  time = 1490   
 60/200   risk = 0.082  time = 1629   
 65/200   risk = 0.08  time = 1751   
 70/200   risk = 0.079  time = 1881   
 75/200   risk = 0.077  time = 2009   
 80/200   risk = 0.077  time = 2144   
 85/200   risk = 0.076  time = 2275   
 90/200   risk = 0.075  time = 2409   
 95/200   risk = 0.074  time = 2538   
100/200   risk = 0.074  time = 2678   
105/200   risk = 0.073  time = 2809   
110/200   risk = 0.073  time = 2939   
115/200   risk = 0.072  time = 3074   
120/200   risk = 0.072  time = 3209   
125/200   risk = 0.071  time = 3351   
130/200   risk = 0.071  time = 3494   
135/200   risk = 0.071  time = 3633   
140/200   risk = 0.07  time = 3780   
145/200   risk = 0.07  time = 3917   
150/200   risk = 0.07  time = 4061   
155/200   risk = 0.07  time = 4198   
160/200   risk = 0.069  time = 4347   
165/200   risk = 0.069  time = 4509   
170/200   risk = 0.069  time = 4658   
175/200   risk = 0.069  time = 4815   
180/200   risk = 0.068  time = 4957   
185/200   risk = 0.068  time = 5093   
190/200   risk = 0.068  time = 5238   
195/200   risk = 0.068  time = 5385   
200/200   risk = 0.068  time = 5544   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.068


### [bt]: Job terminated successfully [batchtools job.id=557]
### [bt]: Calculation finished!
