### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12750]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12750 (seed = 44165) ...
  1/200   risk = 0.25  time = 0   
  5/200   risk = 0.17  time = 2307   
 10/200   risk = 0.11  time = 5170   
 15/200   risk = 0.077  time = 8065   
 20/200   risk = 0.055  time = 10926   
 25/200   risk = 0.042  time = 13767   
 30/200   risk = 0.034  time = 16573   
 35/200   risk = 0.029  time = 19347   
 40/200   risk = 0.026  time = 22115   
 45/200   risk = 0.024  time = 24879   
 50/200   risk = 0.023  time = 27694   
 55/200   risk = 0.022  time = 30586   
 60/200   risk = 0.021  time = 33486   
 65/200   risk = 0.021  time = 36359   
 70/200   risk = 0.021  time = 39356   
 75/200   risk = 0.021  time = 42374   
 80/200   risk = 0.021  time = 45397   
 85/200   risk = 0.021  time = 48225   
 90/200   risk = 0.02  time = 51124   
 95/200   risk = 0.02  time = 53879   
100/200   risk = 0.02  time = 56668   
105/200   risk = 0.02  time = 59542   
110/200   risk = 0.02  time = 62337   
115/200   risk = 0.02  time = 65130   
120/200   risk = 0.02  time = 67974   
125/200   risk = 0.02  time = 70830   
130/200   risk = 0.02  time = 73858   
135/200   risk = 0.02  time = 76842   
140/200   risk = 0.02  time = 79724   
145/200   risk = 0.02  time = 82503   
150/200   risk = 0.02  time = 85370   
155/200   risk = 0.02  time = 88173   
160/200   risk = 0.02  time = 90930   
165/200   risk = 0.02  time = 93642   
170/200   risk = 0.02  time = 96470   
175/200   risk = 0.02  time = 99135   
180/200   risk = 0.02  time = 101733   
185/200   risk = 0.02  time = 104307   
190/200   risk = 0.02  time = 106853   
195/200   risk = 0.02  time = 109387   
200/200   risk = 0.02  time = 111921   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=12750]
### [bt]: Calculation finished!
