### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4403]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4403 (seed = 35818) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.12  time = 262   
 10/200   risk = 0.089  time = 492   
 15/200   risk = 0.066  time = 731   
 20/200   risk = 0.052  time = 960   
 25/200   risk = 0.042  time = 1190   
 30/200   risk = 0.036  time = 1436   
 35/200   risk = 0.032  time = 1673   
 40/200   risk = 0.029  time = 1912   
 45/200   risk = 0.027  time = 2155   
 50/200   risk = 0.026  time = 2401   
 55/200   risk = 0.025  time = 2650   
 60/200   risk = 0.024  time = 11309   
 65/200   risk = 0.023  time = 11549   
 70/200   risk = 0.023  time = 11785   
 75/200   risk = 0.023  time = 12020   
 80/200   risk = 0.022  time = 12259   
 85/200   risk = 0.022  time = 12496   
 90/200   risk = 0.022  time = 12733   
 95/200   risk = 0.022  time = 12975   
100/200   risk = 0.022  time = 13216   
105/200   risk = 0.022  time = 13470   
110/200   risk = 0.021  time = 13726   
115/200   risk = 0.021  time = 13990   
120/200   risk = 0.021  time = 14248   
125/200   risk = 0.021  time = 14504   
130/200   risk = 0.021  time = 21793   
135/200   risk = 0.021  time = 22045   
140/200   risk = 0.021  time = 22289   
145/200   risk = 0.021  time = 22535   
150/200   risk = 0.021  time = 22781   
155/200   risk = 0.021  time = 23031   
160/200   risk = 0.021  time = 23283   
165/200   risk = 0.021  time = 23560   
170/200   risk = 0.021  time = 23825   
175/200   risk = 0.021  time = 24091   
180/200   risk = 0.021  time = 24358   
185/200   risk = 0.021  time = 24626   
190/200   risk = 0.021  time = 24893   
195/200   risk = 0.02  time = 25162   
200/200   risk = 0.02  time = 25432   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=4403]
### [bt]: Calculation finished!
