### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=592]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 592 (seed = 32007) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.23  time = 134   
 10/200   risk = 0.19  time = 231   
 15/200   risk = 0.16  time = 305   
 20/200   risk = 0.14  time = 378   
 25/200   risk = 0.12  time = 464   
 30/200   risk = 0.11  time = 545   
 35/200   risk = 0.1  time = 621   
 40/200   risk = 0.096  time = 699   
 45/200   risk = 0.092  time = 781   
 50/200   risk = 0.089  time = 858   
 55/200   risk = 0.086  time = 943   
 60/200   risk = 0.084  time = 1023   
 65/200   risk = 0.083  time = 1111   
 70/200   risk = 0.081  time = 1200   
 75/200   risk = 0.08  time = 1287   
 80/200   risk = 0.08  time = 1370   
 85/200   risk = 0.079  time = 1456   
 90/200   risk = 0.078  time = 1543   
 95/200   risk = 0.077  time = 1630   
100/200   risk = 0.077  time = 1715   
105/200   risk = 0.076  time = 1800   
110/200   risk = 0.076  time = 1886   
115/200   risk = 0.076  time = 1971   
120/200   risk = 0.075  time = 2061   
125/200   risk = 0.075  time = 2149   
130/200   risk = 0.075  time = 2258   
135/200   risk = 0.074  time = 2348   
140/200   risk = 0.074  time = 2437   
145/200   risk = 0.074  time = 2528   
150/200   risk = 0.073  time = 2619   
155/200   risk = 0.073  time = 2709   
160/200   risk = 0.073  time = 2802   
165/200   risk = 0.073  time = 2902   
170/200   risk = 0.073  time = 2995   
175/200   risk = 0.072  time = 3107   
180/200   risk = 0.072  time = 3208   
185/200   risk = 0.072  time = 3305   
190/200   risk = 0.072  time = 3402   
195/200   risk = 0.072  time = 3500   
200/200   risk = 0.071  time = 3598   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.071


### [bt]: Job terminated successfully [batchtools job.id=592]
### [bt]: Calculation finished!
