### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8035]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8035 (seed = 39450) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.2  time = 405   
 10/200   risk = 0.13  time = 778   
 15/200   risk = 0.092  time = 1138   
 20/200   risk = 0.066  time = 1507   
 25/200   risk = 0.05  time = 1871   
 30/200   risk = 0.039  time = 2232   
 35/200   risk = 0.033  time = 2603   
 40/200   risk = 0.028  time = 2974   
 45/200   risk = 0.026  time = 3337   
 50/200   risk = 0.024  time = 3729   
 55/200   risk = 0.023  time = 4132   
 60/200   risk = 0.022  time = 4560   
 65/200   risk = 0.021  time = 4984   
 70/200   risk = 0.021  time = 5377   
 75/200   risk = 0.02  time = 5771   
 80/200   risk = 0.02  time = 6159   
 85/200   risk = 0.02  time = 6548   
 90/200   risk = 0.019  time = 6938   
 95/200   risk = 0.019  time = 7335   
100/200   risk = 0.019  time = 7692   
105/200   risk = 0.019  time = 8087   
110/200   risk = 0.019  time = 8542   
115/200   risk = 0.019  time = 8942   
120/200   risk = 0.019  time = 9339   
125/200   risk = 0.019  time = 9744   
130/200   risk = 0.019  time = 10115   
135/200   risk = 0.019  time = 10516   
140/200   risk = 0.018  time = 10952   
145/200   risk = 0.018  time = 11381   
150/200   risk = 0.018  time = 11829   
155/200   risk = 0.018  time = 12269   
160/200   risk = 0.018  time = 12675   
165/200   risk = 0.018  time = 13063   
170/200   risk = 0.018  time = 13493   
175/200   risk = 0.018  time = 13931   
180/200   risk = 0.018  time = 14361   
185/200   risk = 0.018  time = 14795   
190/200   risk = 0.018  time = 15238   
195/200   risk = 0.018  time = 15676   
200/200   risk = 0.018  time = 16092   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.018


### [bt]: Job terminated successfully [batchtools job.id=8035]
### [bt]: Calculation finished!
