### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=2349]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 2349 (seed = 33764) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.23  time = 2548   
 10/200   risk = 0.19  time = 5555   
 15/200   risk = 0.16  time = 8854   
 20/200   risk = 0.14  time = 13520   
 25/200   risk = 0.13  time = 18665   
 30/200   risk = 0.11  time = 23402   
 35/200   risk = 0.1  time = 26725   
 40/200   risk = 0.097  time = 29936   
 45/200   risk = 0.091  time = 33222   
 50/200   risk = 0.087  time = 36503   
 55/200   risk = 0.084  time = 39618   
 60/200   risk = 0.081  time = 42738   
 65/200   risk = 0.079  time = 48075   
 70/200   risk = 0.077  time = 53757   
 75/200   risk = 0.076  time = 59443   
 80/200   risk = 0.075  time = 65082   
 85/200   risk = 0.074  time = 70649   
 90/200   risk = 0.073  time = 76496   
 95/200   risk = 0.073  time = 82206   
100/200   risk = 0.072  time = 87984   
105/200   risk = 0.072  time = 93617   
110/200   risk = 0.072  time = 99490   
115/200   risk = 0.071  time = 105253   
120/200   risk = 0.071  time = 111246   
125/200   risk = 0.071  time = 117384   
130/200   risk = 0.07  time = 123195   
135/200   risk = 0.07  time = 129078   
140/200   risk = 0.07  time = 134816   
145/200   risk = 0.07  time = 140438   
150/200   risk = 0.07  time = 146069   
155/200   risk = 0.07  time = 151944   
160/200   risk = 0.069  time = 157735   
165/200   risk = 0.069  time = 163574   
170/200   risk = 0.069  time = 169259   
175/200   risk = 0.069  time = 175035   
180/200   risk = 0.069  time = 180843   
185/200   risk = 0.069  time = 203542   
190/200   risk = 0.069  time = 208995   
195/200   risk = 0.069  time = 227277   
200/200   risk = 0.068  time = 246852   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.068


### [bt]: Job terminated successfully [batchtools job.id=2349]
### [bt]: Calculation finished!
