### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6039]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6039 (seed = 37454) ...
  1/200   risk = 0.22  time = 0   
  5/200   risk = 0.16  time = 241   
 10/200   risk = 0.11  time = 464   
 15/200   risk = 0.076  time = 656   
 20/200   risk = 0.056  time = 849   
 25/200   risk = 0.044  time = 1060   
 30/200   risk = 0.036  time = 1256   
 35/200   risk = 0.031  time = 1451   
 40/200   risk = 0.028  time = 1670   
 45/200   risk = 0.026  time = 1874   
 50/200   risk = 0.024  time = 2083   
 55/200   risk = 0.023  time = 2290   
 60/200   risk = 0.023  time = 2512   
 65/200   risk = 0.022  time = 2737   
 70/200   risk = 0.022  time = 2957   
 75/200   risk = 0.022  time = 3181   
 80/200   risk = 0.021  time = 3403   
 85/200   risk = 0.021  time = 3678   
 90/200   risk = 0.021  time = 3955   
 95/200   risk = 0.021  time = 4176   
100/200   risk = 0.021  time = 4392   
105/200   risk = 0.021  time = 4628   
110/200   risk = 0.02  time = 4837   
115/200   risk = 0.02  time = 5045   
120/200   risk = 0.02  time = 5253   
125/200   risk = 0.02  time = 5463   
130/200   risk = 0.02  time = 5692   
135/200   risk = 0.02  time = 5913   
140/200   risk = 0.02  time = 6131   
145/200   risk = 0.02  time = 6350   
150/200   risk = 0.02  time = 6587   
155/200   risk = 0.02  time = 6817   
160/200   risk = 0.02  time = 7042   
165/200   risk = 0.02  time = 7361   
170/200   risk = 0.02  time = 7682   
175/200   risk = 0.019  time = 7989   
180/200   risk = 0.019  time = 8272   
185/200   risk = 0.019  time = 8529   
190/200   risk = 0.019  time = 8765   
195/200   risk = 0.019  time = 9005   
200/200   risk = 0.019  time = 9257   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.019


### [bt]: Job terminated successfully [batchtools job.id=6039]
### [bt]: Calculation finished!
