### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8271]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8271 (seed = 39686) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.2  time = 384   
 10/200   risk = 0.13  time = 679   
 15/200   risk = 0.093  time = 965   
 20/200   risk = 0.067  time = 1256   
 25/200   risk = 0.051  time = 1551   
 30/200   risk = 0.041  time = 1856   
 35/200   risk = 0.034  time = 2158   
 40/200   risk = 0.03  time = 2459   
 45/200   risk = 0.028  time = 2751   
 50/200   risk = 0.026  time = 3049   
 55/200   risk = 0.025  time = 3347   
 60/200   risk = 0.024  time = 3657   
 65/200   risk = 0.024  time = 3959   
 70/200   risk = 0.023  time = 4261   
 75/200   risk = 0.023  time = 4560   
 80/200   risk = 0.023  time = 4865   
 85/200   risk = 0.023  time = 5158   
 90/200   risk = 0.022  time = 5449   
 95/200   risk = 0.022  time = 5738   
100/200   risk = 0.022  time = 6030   
105/200   risk = 0.022  time = 6322   
110/200   risk = 0.022  time = 6615   
115/200   risk = 0.022  time = 6941   
120/200   risk = 0.022  time = 7249   
125/200   risk = 0.022  time = 7555   
130/200   risk = 0.022  time = 7868   
135/200   risk = 0.022  time = 8176   
140/200   risk = 0.022  time = 8486   
145/200   risk = 0.022  time = 8796   
150/200   risk = 0.022  time = 9105   
155/200   risk = 0.022  time = 9419   
160/200   risk = 0.022  time = 9733   
165/200   risk = 0.022  time = 10045   
170/200   risk = 0.022  time = 10378   
175/200   risk = 0.021  time = 10720   
180/200   risk = 0.021  time = 11048   
185/200   risk = 0.021  time = 11376   
190/200   risk = 0.021  time = 11711   
195/200   risk = 0.021  time = 12042   
200/200   risk = 0.021  time = 12378   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=8271]
### [bt]: Calculation finished!
