### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=13365]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 13365 (seed = 44780) ...
  1/200   risk = 0.092  time = 0   
  5/200   risk = 0.07  time = 148   
 10/200   risk = 0.051  time = 239   
 15/200   risk = 0.04  time = 317   
 20/200   risk = 0.033  time = 397   
 25/200   risk = 0.029  time = 477   
 30/200   risk = 0.026  time = 562   
 35/200   risk = 0.024  time = 651   
 40/200   risk = 0.023  time = 755   
 45/200   risk = 0.023  time = 843   
 50/200   risk = 0.022  time = 926   
 55/200   risk = 0.022  time = 1011   
 60/200   risk = 0.022  time = 1096   
 65/200   risk = 0.022  time = 1185   
 70/200   risk = 0.021  time = 1270   
 75/200   risk = 0.021  time = 1359   
 80/200   risk = 0.021  time = 1445   
 85/200   risk = 0.021  time = 1531   
 90/200   risk = 0.021  time = 1625   
 95/200   risk = 0.021  time = 1713   
100/200   risk = 0.021  time = 1808   
105/200   risk = 0.021  time = 1898   
110/200   risk = 0.021  time = 1989   
115/200   risk = 0.021  time = 2083   
120/200   risk = 0.021  time = 2176   
125/200   risk = 0.021  time = 2267   
130/200   risk = 0.021  time = 2370   
135/200   risk = 0.021  time = 2513   
140/200   risk = 0.021  time = 2642   
145/200   risk = 0.021  time = 2757   
150/200   risk = 0.021  time = 2882   
155/200   risk = 0.021  time = 3015   
160/200   risk = 0.021  time = 3114   
165/200   risk = 0.021  time = 3209   
170/200   risk = 0.021  time = 3315   
175/200   risk = 0.021  time = 3416   
180/200   risk = 0.021  time = 3517   
185/200   risk = 0.02  time = 3628   
190/200   risk = 0.02  time = 3750   
195/200   risk = 0.02  time = 3858   
200/200   risk = 0.02  time = 3971   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=13365]
### [bt]: Calculation finished!
