### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12955]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12955 (seed = 44370) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.11  time = 246   
 10/200   risk = 0.076  time = 422   
 15/200   risk = 0.055  time = 569   
 20/200   risk = 0.042  time = 713   
 25/200   risk = 0.034  time = 880   
 30/200   risk = 0.029  time = 1037   
 35/200   risk = 0.026  time = 1187   
 40/200   risk = 0.024  time = 1340   
 45/200   risk = 0.023  time = 1489   
 50/200   risk = 0.022  time = 1636   
 55/200   risk = 0.022  time = 1791   
 60/200   risk = 0.022  time = 1954   
 65/200   risk = 0.021  time = 2109   
 70/200   risk = 0.021  time = 2265   
 75/200   risk = 0.021  time = 2419   
 80/200   risk = 0.021  time = 2576   
 85/200   risk = 0.021  time = 2740   
 90/200   risk = 0.021  time = 2896   
 95/200   risk = 0.021  time = 3048   
100/200   risk = 0.021  time = 3187   
105/200   risk = 0.021  time = 3336   
110/200   risk = 0.021  time = 3474   
115/200   risk = 0.021  time = 3615   
120/200   risk = 0.021  time = 3754   
125/200   risk = 0.021  time = 3893   
130/200   risk = 0.021  time = 4047   
135/200   risk = 0.021  time = 4207   
140/200   risk = 0.021  time = 4351   
145/200   risk = 0.021  time = 4655   
150/200   risk = 0.021  time = 4799   
155/200   risk = 0.021  time = 4954   
160/200   risk = 0.021  time = 5102   
165/200   risk = 0.021  time = 5254   
170/200   risk = 0.021  time = 5406   
175/200   risk = 0.021  time = 5561   
180/200   risk = 0.021  time = 5716   
185/200   risk = 0.021  time = 5874   
190/200   risk = 0.021  time = 6049   
195/200   risk = 0.021  time = 6224   
200/200   risk = 0.021  time = 6407   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=12955]
### [bt]: Calculation finished!
