### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11038]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11038 (seed = 42453) ...
  1/200   risk = 0.12  time = 0   
  5/200   risk = 0.09  time = 1393   
 10/200   risk = 0.065  time = 2946   
 15/200   risk = 0.049  time = 4526   
 20/200   risk = 0.039  time = 6028   
 25/200   risk = 0.033  time = 7503   
 30/200   risk = 0.029  time = 8997   
 35/200   risk = 0.027  time = 10470   
 40/200   risk = 0.025  time = 11926   
 45/200   risk = 0.024  time = 13381   
 50/200   risk = 0.023  time = 14836   
 55/200   risk = 0.023  time = 16377   
 60/200   risk = 0.023  time = 17886   
 65/200   risk = 0.022  time = 19393   
 70/200   risk = 0.022  time = 20891   
 75/200   risk = 0.022  time = 22401   
 80/200   risk = 0.022  time = 23910   
 85/200   risk = 0.022  time = 25423   
 90/200   risk = 0.022  time = 26936   
 95/200   risk = 0.022  time = 28615   
100/200   risk = 0.021  time = 30125   
105/200   risk = 0.021  time = 31640   
110/200   risk = 0.021  time = 33140   
115/200   risk = 0.021  time = 34656   
120/200   risk = 0.021  time = 36197   
125/200   risk = 0.021  time = 37710   
130/200   risk = 0.021  time = 39236   
135/200   risk = 0.021  time = 40747   
140/200   risk = 0.021  time = 42268   
145/200   risk = 0.021  time = 43781   
150/200   risk = 0.021  time = 45297   
155/200   risk = 0.021  time = 46837   
160/200   risk = 0.021  time = 48378   
165/200   risk = 0.021  time = 49882   
170/200   risk = 0.021  time = 51392   
175/200   risk = 0.021  time = 52902   
180/200   risk = 0.021  time = 54429   
185/200   risk = 0.021  time = 55951   
190/200   risk = 0.021  time = 57544   
195/200   risk = 0.021  time = 59083   
200/200   risk = 0.021  time = 60747   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=11038]
### [bt]: Calculation finished!
