### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5419]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5419 (seed = 36834) ...
  1/200   risk = 0.076  time = 0   
  5/200   risk = 0.059  time = 2577   
 10/200   risk = 0.046  time = 5870   
 15/200   risk = 0.037  time = 10341   
 20/200   risk = 0.032  time = 13655   
 25/200   risk = 0.028  time = 16920   
 30/200   risk = 0.026  time = 20103   
 35/200   risk = 0.025  time = 23279   
 40/200   risk = 0.024  time = 26486   
 45/200   risk = 0.023  time = 29722   
 50/200   risk = 0.022  time = 32914   
 55/200   risk = 0.022  time = 36096   
 60/200   risk = 0.022  time = 39347   
 65/200   risk = 0.021  time = 42629   
 70/200   risk = 0.021  time = 45978   
 75/200   risk = 0.021  time = 49279   
 80/200   risk = 0.021  time = 52514   
 85/200   risk = 0.021  time = 55664   
 90/200   risk = 0.021  time = 58586   
 95/200   risk = 0.021  time = 61527   
100/200   risk = 0.021  time = 64457   
105/200   risk = 0.021  time = 67374   
110/200   risk = 0.02  time = 70422   
115/200   risk = 0.02  time = 73600   
120/200   risk = 0.02  time = 76934   
125/200   risk = 0.02  time = 80076   
130/200   risk = 0.02  time = 83223   
135/200   risk = 0.02  time = 86358   
140/200   risk = 0.02  time = 89650   
145/200   risk = 0.02  time = 92937   
150/200   risk = 0.02  time = 96112   
155/200   risk = 0.02  time = 99255   
160/200   risk = 0.02  time = 102372   
165/200   risk = 0.02  time = 105520   
170/200   risk = 0.02  time = 108867   
175/200   risk = 0.02  time = 112164   
180/200   risk = 0.02  time = 115440   
185/200   risk = 0.02  time = 118665   
190/200   risk = 0.02  time = 121716   
195/200   risk = 0.02  time = 124850   
200/200   risk = 0.02  time = 128076   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=5419]
### [bt]: Calculation finished!
