### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10481]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10481 (seed = 41896) ...
  1/200   risk = 0.23  time = 0   
  5/200   risk = 0.16  time = 116   
 10/200   risk = 0.11  time = 179   
 15/200   risk = 0.077  time = 237   
 20/200   risk = 0.057  time = 297   
 25/200   risk = 0.045  time = 357   
 30/200   risk = 0.037  time = 418   
 35/200   risk = 0.032  time = 480   
 40/200   risk = 0.029  time = 545   
 45/200   risk = 0.027  time = 607   
 50/200   risk = 0.026  time = 670   
 55/200   risk = 0.025  time = 733   
 60/200   risk = 0.024  time = 806   
 65/200   risk = 0.024  time = 877   
 70/200   risk = 0.024  time = 945   
 75/200   risk = 0.023  time = 1013   
 80/200   risk = 0.023  time = 1082   
 85/200   risk = 0.023  time = 1150   
 90/200   risk = 0.023  time = 1226   
 95/200   risk = 0.023  time = 1297   
100/200   risk = 0.023  time = 1369   
105/200   risk = 0.022  time = 1443   
110/200   risk = 0.022  time = 1515   
115/200   risk = 0.022  time = 1590   
120/200   risk = 0.022  time = 1669   
125/200   risk = 0.022  time = 1750   
130/200   risk = 0.022  time = 1828   
135/200   risk = 0.022  time = 1922   
140/200   risk = 0.022  time = 2001   
145/200   risk = 0.022  time = 2078   
150/200   risk = 0.022  time = 2157   
155/200   risk = 0.022  time = 2235   
160/200   risk = 0.022  time = 2321   
165/200   risk = 0.022  time = 2405   
170/200   risk = 0.022  time = 2487   
175/200   risk = 0.022  time = 2572   
180/200   risk = 0.022  time = 2655   
185/200   risk = 0.022  time = 2739   
190/200   risk = 0.022  time = 2823   
195/200   risk = 0.022  time = 2908   
200/200   risk = 0.022  time = 3006   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=10481]
### [bt]: Calculation finished!
