### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12070]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12070 (seed = 43485) ...
  1/200   risk = 0.22  time = 0   
  5/200   risk = 0.15  time = 107   
 10/200   risk = 0.1  time = 171   
 15/200   risk = 0.071  time = 230   
 20/200   risk = 0.052  time = 289   
 25/200   risk = 0.04  time = 346   
 30/200   risk = 0.033  time = 407   
 35/200   risk = 0.028  time = 467   
 40/200   risk = 0.026  time = 532   
 45/200   risk = 0.024  time = 595   
 50/200   risk = 0.023  time = 657   
 55/200   risk = 0.022  time = 733   
 60/200   risk = 0.022  time = 797   
 65/200   risk = 0.021  time = 861   
 70/200   risk = 0.021  time = 923   
 75/200   risk = 0.021  time = 985   
 80/200   risk = 0.021  time = 1048   
 85/200   risk = 0.021  time = 1112   
 90/200   risk = 0.021  time = 1177   
 95/200   risk = 0.021  time = 1242   
100/200   risk = 0.021  time = 1308   
105/200   risk = 0.021  time = 1375   
110/200   risk = 0.021  time = 1442   
115/200   risk = 0.021  time = 1511   
120/200   risk = 0.021  time = 1580   
125/200   risk = 0.021  time = 1650   
130/200   risk = 0.021  time = 1728   
135/200   risk = 0.021  time = 1800   
140/200   risk = 0.021  time = 1876   
145/200   risk = 0.021  time = 1950   
150/200   risk = 0.021  time = 2024   
155/200   risk = 0.021  time = 2106   
160/200   risk = 0.021  time = 2181   
165/200   risk = 0.021  time = 2256   
170/200   risk = 0.021  time = 2356   
175/200   risk = 0.021  time = 2456   
180/200   risk = 0.021  time = 2535   
185/200   risk = 0.021  time = 2613   
190/200   risk = 0.02  time = 2707   
195/200   risk = 0.02  time = 2789   
200/200   risk = 0.02  time = 2894   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=12070]
### [bt]: Calculation finished!
