### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6233]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6233 (seed = 37648) ...
  1/200   risk = 0.23  time = 0   
  5/200   risk = 0.16  time = 2524   
 10/200   risk = 0.11  time = 5665   
 15/200   risk = 0.082  time = 8903   
 20/200   risk = 0.062  time = 12089   
 25/200   risk = 0.049  time = 15309   
 30/200   risk = 0.041  time = 18523   
 35/200   risk = 0.036  time = 21803   
 40/200   risk = 0.032  time = 24910   
 45/200   risk = 0.03  time = 28040   
 50/200   risk = 0.029  time = 31132   
 55/200   risk = 0.028  time = 34221   
 60/200   risk = 0.027  time = 37318   
 65/200   risk = 0.026  time = 40446   
 70/200   risk = 0.026  time = 43592   
 75/200   risk = 0.026  time = 46718   
 80/200   risk = 0.025  time = 49878   
 85/200   risk = 0.025  time = 52979   
 90/200   risk = 0.025  time = 56117   
 95/200   risk = 0.025  time = 59289   
100/200   risk = 0.025  time = 62487   
105/200   risk = 0.024  time = 65624   
110/200   risk = 0.024  time = 68805   
115/200   risk = 0.024  time = 72002   
120/200   risk = 0.024  time = 75264   
125/200   risk = 0.024  time = 78381   
130/200   risk = 0.024  time = 81571   
135/200   risk = 0.024  time = 84737   
140/200   risk = 0.024  time = 87875   
145/200   risk = 0.023  time = 91051   
150/200   risk = 0.023  time = 94168   
155/200   risk = 0.023  time = 97373   
160/200   risk = 0.023  time = 100556   
165/200   risk = 0.023  time = 103709   
170/200   risk = 0.023  time = 106882   
175/200   risk = 0.023  time = 110051   
180/200   risk = 0.023  time = 113212   
185/200   risk = 0.023  time = 116379   
190/200   risk = 0.023  time = 118973   
195/200   risk = 0.023  time = 120794   
200/200   risk = 0.023  time = 122776   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=6233]
### [bt]: Calculation finished!
