### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12913]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12913 (seed = 44328) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 590   
 10/200   risk = 0.079  time = 1196   
 15/200   risk = 0.056  time = 1752   
 20/200   risk = 0.042  time = 2330   
 25/200   risk = 0.034  time = 2895   
 30/200   risk = 0.029  time = 3482   
 35/200   risk = 0.026  time = 4029   
 40/200   risk = 0.024  time = 4586   
 45/200   risk = 0.022  time = 5117   
 50/200   risk = 0.022  time = 5652   
 55/200   risk = 0.021  time = 6194   
 60/200   risk = 0.021  time = 6743   
 65/200   risk = 0.021  time = 7299   
 70/200   risk = 0.02  time = 7884   
 75/200   risk = 0.02  time = 8487   
 80/200   risk = 0.02  time = 9060   
 85/200   risk = 0.02  time = 9595   
 90/200   risk = 0.02  time = 10136   
 95/200   risk = 0.02  time = 10672   
100/200   risk = 0.02  time = 11214   
105/200   risk = 0.02  time = 11736   
110/200   risk = 0.02  time = 12257   
115/200   risk = 0.02  time = 12785   
120/200   risk = 0.02  time = 13309   
125/200   risk = 0.02  time = 13830   
130/200   risk = 0.02  time = 14371   
135/200   risk = 0.02  time = 14898   
140/200   risk = 0.02  time = 15434   
145/200   risk = 0.02  time = 16037   
150/200   risk = 0.02  time = 16572   
155/200   risk = 0.02  time = 17107   
160/200   risk = 0.02  time = 17639   
165/200   risk = 0.02  time = 18176   
170/200   risk = 0.02  time = 18715   
175/200   risk = 0.02  time = 19259   
180/200   risk = 0.02  time = 19797   
185/200   risk = 0.02  time = 20345   
190/200   risk = 0.02  time = 20882   
195/200   risk = 0.02  time = 21412   
200/200   risk = 0.02  time = 21945   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=12913]
### [bt]: Calculation finished!
