### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8723]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8723 (seed = 40138) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 3203   
 10/200   risk = 0.081  time = 6850   
 15/200   risk = 0.06  time = 10351   
 20/200   risk = 0.046  time = 13781   
 25/200   risk = 0.038  time = 17194   
 30/200   risk = 0.032  time = 21124   
 35/200   risk = 0.029  time = 26898   
 40/200   risk = 0.027  time = 32477   
 45/200   risk = 0.026  time = 38754   
 50/200   risk = 0.025  time = 44859   
 55/200   risk = 0.024  time = 50740   
 60/200   risk = 0.023  time = 56497   
 65/200   risk = 0.023  time = 61733   
 70/200   risk = 0.023  time = 67037   
 75/200   risk = 0.023  time = 72984   
 80/200   risk = 0.023  time = 79341   
 85/200   risk = 0.022  time = 85648   
 90/200   risk = 0.022  time = 91913   
 95/200   risk = 0.022  time = 95792   
100/200   risk = 0.022  time = 99273   
105/200   risk = 0.022  time = 102795   
110/200   risk = 0.022  time = 106644   
115/200   risk = 0.022  time = 110039   
120/200   risk = 0.022  time = 113534   
125/200   risk = 0.022  time = 117007   
130/200   risk = 0.022  time = 120517   
135/200   risk = 0.022  time = 124298   
140/200   risk = 0.022  time = 128006   
145/200   risk = 0.021  time = 131681   
150/200   risk = 0.021  time = 135276   
155/200   risk = 0.021  time = 138780   
160/200   risk = 0.021  time = 142291   
165/200   risk = 0.021  time = 145786   
170/200   risk = 0.021  time = 149386   
175/200   risk = 0.021  time = 152961   
180/200   risk = 0.021  time = 156478   
185/200   risk = 0.021  time = 160053   
190/200   risk = 0.021  time = 165793   
195/200   risk = 0.021  time = 172110   
200/200   risk = 0.021  time = 176345   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=8723]
### [bt]: Calculation finished!
