### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8329]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8329 (seed = 39744) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.21  time = 2789   
 10/200   risk = 0.14  time = 6451   
 15/200   risk = 0.094  time = 9857   
 20/200   risk = 0.067  time = 13417   
 25/200   risk = 0.051  time = 16840   
 30/200   risk = 0.041  time = 20351   
 35/200   risk = 0.034  time = 23740   
 40/200   risk = 0.03  time = 27096   
 45/200   risk = 0.028  time = 30455   
 50/200   risk = 0.026  time = 33855   
 55/200   risk = 0.025  time = 37239   
 60/200   risk = 0.024  time = 40634   
 65/200   risk = 0.023  time = 43981   
 70/200   risk = 0.023  time = 47316   
 75/200   risk = 0.023  time = 50598   
 80/200   risk = 0.023  time = 54093   
 85/200   risk = 0.022  time = 57398   
 90/200   risk = 0.022  time = 60843   
 95/200   risk = 0.022  time = 64161   
100/200   risk = 0.022  time = 67601   
105/200   risk = 0.022  time = 70983   
110/200   risk = 0.022  time = 74359   
115/200   risk = 0.022  time = 77646   
120/200   risk = 0.022  time = 80944   
125/200   risk = 0.022  time = 84194   
130/200   risk = 0.022  time = 87497   
135/200   risk = 0.022  time = 90647   
140/200   risk = 0.021  time = 93821   
145/200   risk = 0.021  time = 96959   
150/200   risk = 0.021  time = 100360   
155/200   risk = 0.021  time = 104093   
160/200   risk = 0.021  time = 107601   
165/200   risk = 0.021  time = 112039   
170/200   risk = 0.021  time = 118538   
175/200   risk = 0.021  time = 124254   
180/200   risk = 0.021  time = 129817   
185/200   risk = 0.021  time = 135332   
190/200   risk = 0.021  time = 141106   
195/200   risk = 0.021  time = 146852   
200/200   risk = 0.021  time = 152246   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=8329]
### [bt]: Calculation finished!
