### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4438]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4438 (seed = 35853) ...
  1/200   risk = 0.14  time = 0   
  5/200   risk = 0.11  time = 202   
 10/200   risk = 0.079  time = 387   
 15/200   risk = 0.06  time = 587   
 20/200   risk = 0.048  time = 844   
 25/200   risk = 0.039  time = 1055   
 30/200   risk = 0.034  time = 1280   
 35/200   risk = 0.03  time = 1477   
 40/200   risk = 0.028  time = 1668   
 45/200   risk = 0.026  time = 1859   
 50/200   risk = 0.024  time = 2058   
 55/200   risk = 0.023  time = 2253   
 60/200   risk = 0.023  time = 2452   
 65/200   risk = 0.022  time = 2662   
 70/200   risk = 0.022  time = 2855   
 75/200   risk = 0.022  time = 3048   
 80/200   risk = 0.021  time = 3244   
 85/200   risk = 0.021  time = 3440   
 90/200   risk = 0.021  time = 3636   
 95/200   risk = 0.021  time = 3832   
100/200   risk = 0.021  time = 4041   
105/200   risk = 0.021  time = 4252   
110/200   risk = 0.021  time = 4453   
115/200   risk = 0.02  time = 4652   
120/200   risk = 0.02  time = 4855   
125/200   risk = 0.02  time = 5058   
130/200   risk = 0.02  time = 5262   
135/200   risk = 0.02  time = 5466   
140/200   risk = 0.02  time = 5713   
145/200   risk = 0.02  time = 5951   
150/200   risk = 0.02  time = 6189   
155/200   risk = 0.02  time = 6404   
160/200   risk = 0.02  time = 6619   
165/200   risk = 0.02  time = 6822   
170/200   risk = 0.02  time = 7022   
175/200   risk = 0.02  time = 7224   
180/200   risk = 0.02  time = 7442   
185/200   risk = 0.02  time = 7649   
190/200   risk = 0.02  time = 7885   
195/200   risk = 0.02  time = 8138   
200/200   risk = 0.02  time = 8361   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=4438]
### [bt]: Calculation finished!
