### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4217]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4217 (seed = 35632) ...
  1/200   risk = 0.19  time = 0   
  5/200   risk = 0.14  time = 1472   
 10/200   risk = 0.11  time = 3179   
 15/200   risk = 0.08  time = 4857   
 20/200   risk = 0.063  time = 6538   
 25/200   risk = 0.052  time = 8212   
 30/200   risk = 0.044  time = 9924   
 35/200   risk = 0.039  time = 11634   
 40/200   risk = 0.036  time = 13505   
 45/200   risk = 0.033  time = 15128   
 50/200   risk = 0.031  time = 16628   
 55/200   risk = 0.03  time = 18101   
 60/200   risk = 0.029  time = 19713   
 65/200   risk = 0.028  time = 21176   
 70/200   risk = 0.027  time = 22660   
 75/200   risk = 0.026  time = 24116   
 80/200   risk = 0.026  time = 25584   
 85/200   risk = 0.026  time = 27040   
 90/200   risk = 0.025  time = 28493   
 95/200   risk = 0.025  time = 29973   
100/200   risk = 0.025  time = 31435   
105/200   risk = 0.024  time = 32901   
110/200   risk = 0.024  time = 34367   
115/200   risk = 0.024  time = 35839   
120/200   risk = 0.024  time = 37301   
125/200   risk = 0.024  time = 38767   
130/200   risk = 0.024  time = 40239   
135/200   risk = 0.023  time = 41708   
140/200   risk = 0.023  time = 43185   
145/200   risk = 0.023  time = 44654   
150/200   risk = 0.023  time = 46126   
155/200   risk = 0.023  time = 47597   
160/200   risk = 0.023  time = 49066   
165/200   risk = 0.023  time = 50539   
170/200   risk = 0.023  time = 52012   
175/200   risk = 0.023  time = 53492   
180/200   risk = 0.023  time = 54966   
185/200   risk = 0.022  time = 56464   
190/200   risk = 0.022  time = 57906   
195/200   risk = 0.022  time = 59211   
200/200   risk = 0.022  time = 60553   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=4217]
### [bt]: Calculation finished!
