### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=372]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 372 (seed = 31787) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.21  time = 7777   
 10/200   risk = 0.16  time = 11812   
 15/200   risk = 0.13  time = 15127   
 20/200   risk = 0.1  time = 18534   
 25/200   risk = 0.085  time = 26722   
 30/200   risk = 0.073  time = 33318   
 35/200   risk = 0.065  time = 36842   
 40/200   risk = 0.059  time = 40714   
 45/200   risk = 0.054  time = 44321   
 50/200   risk = 0.051  time = 54521   
 55/200   risk = 0.048  time = 58414   
 60/200   risk = 0.046  time = 62143   
 65/200   risk = 0.045  time = 65818   
 70/200   risk = 0.043  time = 69709   
 75/200   risk = 0.042  time = 73447   
 80/200   risk = 0.041  time = 76872   
 85/200   risk = 0.041  time = 87780   
 90/200   risk = 0.04  time = 91228   
 95/200   risk = 0.039  time = 94800   
100/200   risk = 0.039  time = 98653   
105/200   risk = 0.038  time = 102161   
110/200   risk = 0.038  time = 105766   
115/200   risk = 0.037  time = 109179   
120/200   risk = 0.037  time = 112537   
125/200   risk = 0.037  time = 116294   
130/200   risk = 0.036  time = 120166   
135/200   risk = 0.036  time = 123694   
140/200   risk = 0.036  time = 127316   
145/200   risk = 0.036  time = 130744   
150/200   risk = 0.035  time = 134775   
155/200   risk = 0.035  time = 139069   
160/200   risk = 0.035  time = 143296   
165/200   risk = 0.035  time = 147552   
170/200   risk = 0.035  time = 151821   
175/200   risk = 0.035  time = 156469   
180/200   risk = 0.034  time = 163441   
185/200   risk = 0.034  time = 167871   
190/200   risk = 0.034  time = 214391   
195/200   risk = 0.034  time = 218554   
200/200   risk = 0.034  time = 224111   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.034


### [bt]: Job terminated successfully [batchtools job.id=372]
### [bt]: Calculation finished!
