### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=11236]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 11236 (seed = 42651) ...
  1/200   risk = 0.074  time = 0   
  5/200   risk = 0.059  time = 197   
 10/200   risk = 0.046  time = 375   
 15/200   risk = 0.037  time = 534   
 20/200   risk = 0.032  time = 698   
 25/200   risk = 0.028  time = 873   
 30/200   risk = 0.026  time = 1052   
 35/200   risk = 0.024  time = 1230   
 40/200   risk = 0.023  time = 1404   
 45/200   risk = 0.023  time = 1572   
 50/200   risk = 0.022  time = 1746   
 55/200   risk = 0.022  time = 1931   
 60/200   risk = 0.021  time = 2102   
 65/200   risk = 0.021  time = 2274   
 70/200   risk = 0.021  time = 2443   
 75/200   risk = 0.021  time = 2612   
 80/200   risk = 0.021  time = 2779   
 85/200   risk = 0.021  time = 2952   
 90/200   risk = 0.02  time = 3214   
 95/200   risk = 0.02  time = 3486   
100/200   risk = 0.02  time = 3782   
105/200   risk = 0.02  time = 4049   
110/200   risk = 0.02  time = 4263   
115/200   risk = 0.02  time = 4481   
120/200   risk = 0.02  time = 4676   
125/200   risk = 0.02  time = 4860   
130/200   risk = 0.02  time = 5051   
135/200   risk = 0.02  time = 5244   
140/200   risk = 0.02  time = 5440   
145/200   risk = 0.02  time = 5626   
150/200   risk = 0.02  time = 5832   
155/200   risk = 0.02  time = 6028   
160/200   risk = 0.02  time = 6233   
165/200   risk = 0.02  time = 6437   
170/200   risk = 0.02  time = 6651   
175/200   risk = 0.02  time = 6871   
180/200   risk = 0.02  time = 7079   
185/200   risk = 0.02  time = 7281   
190/200   risk = 0.02  time = 7484   
195/200   risk = 0.02  time = 7701   
200/200   risk = 0.02  time = 7905   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=11236]
### [bt]: Calculation finished!
