### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3094]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3094 (seed = 34509) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.24  time = 450   
 10/200   risk = 0.2  time = 794   
 15/200   risk = 0.17  time = 1105   
 20/200   risk = 0.15  time = 1419   
 25/200   risk = 0.14  time = 1732   
 30/200   risk = 0.13  time = 2114   
 35/200   risk = 0.12  time = 2629   
 40/200   risk = 0.11  time = 3143   
 45/200   risk = 0.1  time = 3622   
 50/200   risk = 0.1  time = 4093   
 55/200   risk = 0.096  time = 4581   
 60/200   risk = 0.092  time = 5062   
 65/200   risk = 0.09  time = 5578   
 70/200   risk = 0.088  time = 6122   
 75/200   risk = 0.086  time = 6717   
 80/200   risk = 0.084  time = 7234   
 85/200   risk = 0.083  time = 7746   
 90/200   risk = 0.082  time = 8247   
 95/200   risk = 0.081  time = 8839   
100/200   risk = 0.08  time = 9355   
105/200   risk = 0.079  time = 9880   
110/200   risk = 0.078  time = 10410   
115/200   risk = 0.078  time = 10942   
120/200   risk = 0.077  time = 11479   
125/200   risk = 0.077  time = 12006   
130/200   risk = 0.076  time = 12561   
135/200   risk = 0.076  time = 13085   
140/200   risk = 0.075  time = 13619   
145/200   risk = 0.075  time = 14122   
150/200   risk = 0.074  time = 14631   
155/200   risk = 0.074  time = 15139   
160/200   risk = 0.074  time = 15660   
165/200   risk = 0.074  time = 16175   
170/200   risk = 0.073  time = 16689   
175/200   risk = 0.073  time = 17214   
180/200   risk = 0.073  time = 17730   
185/200   risk = 0.072  time = 18252   
190/200   risk = 0.072  time = 18775   
195/200   risk = 0.072  time = 19301   
200/200   risk = 0.072  time = 19828   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.072


### [bt]: Job terminated successfully [batchtools job.id=3094]
### [bt]: Calculation finished!
