### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6509]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6509 (seed = 37924) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.13  time = 414   
 10/200   risk = 0.093  time = 809   
 15/200   risk = 0.069  time = 1190   
 20/200   risk = 0.055  time = 1565   
 25/200   risk = 0.045  time = 1936   
 30/200   risk = 0.04  time = 2318   
 35/200   risk = 0.036  time = 2716   
 40/200   risk = 0.033  time = 3105   
 45/200   risk = 0.031  time = 3491   
 50/200   risk = 0.03  time = 3884   
 55/200   risk = 0.029  time = 4279   
 60/200   risk = 0.029  time = 4676   
 65/200   risk = 0.028  time = 5064   
 70/200   risk = 0.028  time = 5459   
 75/200   risk = 0.027  time = 5872   
 80/200   risk = 0.027  time = 6483   
 85/200   risk = 0.027  time = 6884   
 90/200   risk = 0.027  time = 7268   
 95/200   risk = 0.026  time = 7647   
100/200   risk = 0.026  time = 8028   
105/200   risk = 0.026  time = 8414   
110/200   risk = 0.026  time = 8800   
115/200   risk = 0.026  time = 9198   
120/200   risk = 0.025  time = 9592   
125/200   risk = 0.025  time = 9976   
130/200   risk = 0.025  time = 10379   
135/200   risk = 0.025  time = 10769   
140/200   risk = 0.025  time = 11156   
145/200   risk = 0.025  time = 11561   
150/200   risk = 0.025  time = 11935   
155/200   risk = 0.024  time = 12322   
160/200   risk = 0.024  time = 12727   
165/200   risk = 0.024  time = 13116   
170/200   risk = 0.024  time = 13511   
175/200   risk = 0.024  time = 13903   
180/200   risk = 0.024  time = 14297   
185/200   risk = 0.024  time = 14725   
190/200   risk = 0.024  time = 15139   
195/200   risk = 0.024  time = 15552   
200/200   risk = 0.024  time = 15994   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.024


### [bt]: Job terminated successfully [batchtools job.id=6509]
### [bt]: Calculation finished!
