### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5315]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5315 (seed = 36730) ...
  1/200   risk = 0.074  time = 0   
  5/200   risk = 0.059  time = 639   
 10/200   risk = 0.046  time = 1285   
 15/200   risk = 0.037  time = 1904   
 20/200   risk = 0.032  time = 2516   
 25/200   risk = 0.028  time = 3153   
 30/200   risk = 0.026  time = 3673   
 35/200   risk = 0.024  time = 4079   
 40/200   risk = 0.023  time = 4459   
 45/200   risk = 0.022  time = 4839   
 50/200   risk = 0.022  time = 5223   
 55/200   risk = 0.021  time = 5620   
 60/200   risk = 0.021  time = 5991   
 65/200   risk = 0.021  time = 6568   
 70/200   risk = 0.021  time = 7170   
 75/200   risk = 0.02  time = 7787   
 80/200   risk = 0.02  time = 8378   
 85/200   risk = 0.02  time = 8986   
 90/200   risk = 0.02  time = 9597   
 95/200   risk = 0.02  time = 10211   
100/200   risk = 0.02  time = 10885   
105/200   risk = 0.02  time = 11532   
110/200   risk = 0.02  time = 12174   
115/200   risk = 0.02  time = 12808   
120/200   risk = 0.02  time = 13440   
125/200   risk = 0.02  time = 14092   
130/200   risk = 0.02  time = 14756   
135/200   risk = 0.02  time = 15359   
140/200   risk = 0.02  time = 15942   
145/200   risk = 0.019  time = 17475   
150/200   risk = 0.019  time = 18141   
155/200   risk = 0.019  time = 18768   
160/200   risk = 0.019  time = 19379   
165/200   risk = 0.019  time = 20001   
170/200   risk = 0.019  time = 20632   
175/200   risk = 0.019  time = 21304   
180/200   risk = 0.019  time = 21993   
185/200   risk = 0.019  time = 22716   
190/200   risk = 0.019  time = 23430   
195/200   risk = 0.019  time = 24158   
200/200   risk = 0.019  time = 24880   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.019


### [bt]: Job terminated successfully [batchtools job.id=5315]
### [bt]: Calculation finished!
