### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6486]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6486 (seed = 37901) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 165   
 10/200   risk = 0.085  time = 238   
 15/200   risk = 0.064  time = 304   
 20/200   risk = 0.051  time = 369   
 25/200   risk = 0.042  time = 434   
 30/200   risk = 0.037  time = 502   
 35/200   risk = 0.034  time = 568   
 40/200   risk = 0.031  time = 642   
 45/200   risk = 0.03  time = 726   
 50/200   risk = 0.029  time = 804   
 55/200   risk = 0.028  time = 884   
 60/200   risk = 0.028  time = 963   
 65/200   risk = 0.027  time = 1043   
 70/200   risk = 0.027  time = 1117   
 75/200   risk = 0.027  time = 1190   
 80/200   risk = 0.026  time = 1263   
 85/200   risk = 0.026  time = 1337   
 90/200   risk = 0.026  time = 1412   
 95/200   risk = 0.026  time = 1488   
100/200   risk = 0.026  time = 1566   
105/200   risk = 0.026  time = 1650   
110/200   risk = 0.025  time = 1744   
115/200   risk = 0.025  time = 1821   
120/200   risk = 0.025  time = 1900   
125/200   risk = 0.025  time = 1978   
130/200   risk = 0.025  time = 2060   
135/200   risk = 0.025  time = 2141   
140/200   risk = 0.025  time = 2222   
145/200   risk = 0.025  time = 2304   
150/200   risk = 0.025  time = 2387   
155/200   risk = 0.024  time = 2471   
160/200   risk = 0.024  time = 2571   
165/200   risk = 0.024  time = 2738   
170/200   risk = 0.024  time = 2833   
175/200   risk = 0.024  time = 2933   
180/200   risk = 0.024  time = 3066   
185/200   risk = 0.024  time = 3161   
190/200   risk = 0.024  time = 3250   
195/200   risk = 0.024  time = 3348   
200/200   risk = 0.024  time = 3445   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.024


### [bt]: Job terminated successfully [batchtools job.id=6486]
### [bt]: Calculation finished!
