### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4141]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4141 (seed = 35556) ...
  1/200   risk = 0.19  time = 0   
  5/200   risk = 0.14  time = 548   
 10/200   risk = 0.1  time = 1152   
 15/200   risk = 0.077  time = 1761   
 20/200   risk = 0.061  time = 2390   
 25/200   risk = 0.049  time = 3061   
 30/200   risk = 0.042  time = 3710   
 35/200   risk = 0.037  time = 4404   
 40/200   risk = 0.033  time = 5092   
 45/200   risk = 0.031  time = 5764   
 50/200   risk = 0.029  time = 6424   
 55/200   risk = 0.028  time = 7068   
 60/200   risk = 0.027  time = 7750   
 65/200   risk = 0.026  time = 8403   
 70/200   risk = 0.025  time = 9048   
 75/200   risk = 0.025  time = 9702   
 80/200   risk = 0.024  time = 10340   
 85/200   risk = 0.024  time = 10979   
 90/200   risk = 0.024  time = 11624   
 95/200   risk = 0.023  time = 12293   
100/200   risk = 0.023  time = 12945   
105/200   risk = 0.023  time = 13582   
110/200   risk = 0.023  time = 14252   
115/200   risk = 0.022  time = 14921   
120/200   risk = 0.022  time = 15586   
125/200   risk = 0.022  time = 16294   
130/200   risk = 0.022  time = 17000   
135/200   risk = 0.022  time = 17708   
140/200   risk = 0.022  time = 18395   
145/200   risk = 0.022  time = 19076   
150/200   risk = 0.022  time = 19814   
155/200   risk = 0.022  time = 20507   
160/200   risk = 0.021  time = 21208   
165/200   risk = 0.021  time = 21872   
170/200   risk = 0.021  time = 22525   
175/200   risk = 0.021  time = 23227   
180/200   risk = 0.021  time = 23930   
185/200   risk = 0.021  time = 24650   
190/200   risk = 0.021  time = 25372   
195/200   risk = 0.021  time = 26097   
200/200   risk = 0.021  time = 26815   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=4141]
### [bt]: Calculation finished!
