### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=9621]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 9621 (seed = 41036) ...
  1/200   risk = 0.11  time = 0   
  5/200   risk = 0.081  time = 383   
 10/200   risk = 0.059  time = 781   
 15/200   risk = 0.045  time = 1160   
 20/200   risk = 0.037  time = 1534   
 25/200   risk = 0.031  time = 1892   
 30/200   risk = 0.028  time = 2247   
 35/200   risk = 0.025  time = 2609   
 40/200   risk = 0.024  time = 2982   
 45/200   risk = 0.023  time = 3352   
 50/200   risk = 0.022  time = 3704   
 55/200   risk = 0.022  time = 4095   
 60/200   risk = 0.022  time = 4499   
 65/200   risk = 0.021  time = 4874   
 70/200   risk = 0.021  time = 5252   
 75/200   risk = 0.021  time = 5631   
 80/200   risk = 0.021  time = 6006   
 85/200   risk = 0.021  time = 6380   
 90/200   risk = 0.021  time = 6757   
 95/200   risk = 0.021  time = 7145   
100/200   risk = 0.021  time = 7510   
105/200   risk = 0.021  time = 7886   
110/200   risk = 0.021  time = 8254   
115/200   risk = 0.021  time = 8618   
120/200   risk = 0.021  time = 8997   
125/200   risk = 0.021  time = 9350   
130/200   risk = 0.021  time = 9724   
135/200   risk = 0.021  time = 10095   
140/200   risk = 0.021  time = 10483   
145/200   risk = 0.021  time = 10859   
150/200   risk = 0.021  time = 11274   
155/200   risk = 0.021  time = 11657   
160/200   risk = 0.021  time = 12038   
165/200   risk = 0.021  time = 12432   
170/200   risk = 0.021  time = 12792   
175/200   risk = 0.021  time = 13171   
180/200   risk = 0.021  time = 13548   
185/200   risk = 0.021  time = 13963   
190/200   risk = 0.021  time = 14363   
195/200   risk = 0.021  time = 14757   
200/200   risk = 0.021  time = 15148   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=9621]
### [bt]: Calculation finished!
