### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=3800]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 3800 (seed = 35215) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.21  time = 231   
 10/200   risk = 0.15  time = 358   
 15/200   risk = 0.11  time = 460   
 20/200   risk = 0.088  time = 563   
 25/200   risk = 0.071  time = 670   
 30/200   risk = 0.059  time = 779   
 35/200   risk = 0.051  time = 889   
 40/200   risk = 0.046  time = 997   
 45/200   risk = 0.042  time = 1123   
 50/200   risk = 0.039  time = 1278   
 55/200   risk = 0.037  time = 1402   
 60/200   risk = 0.035  time = 1511   
 65/200   risk = 0.033  time = 1622   
 70/200   risk = 0.032  time = 1732   
 75/200   risk = 0.031  time = 1854   
 80/200   risk = 0.03  time = 2006   
 85/200   risk = 0.03  time = 2176   
 90/200   risk = 0.029  time = 2312   
 95/200   risk = 0.029  time = 2451   
100/200   risk = 0.028  time = 2571   
105/200   risk = 0.028  time = 2691   
110/200   risk = 0.027  time = 2811   
115/200   risk = 0.027  time = 2944   
120/200   risk = 0.027  time = 3103   
125/200   risk = 0.026  time = 3242   
130/200   risk = 0.026  time = 3378   
135/200   risk = 0.026  time = 3500   
140/200   risk = 0.025  time = 3625   
145/200   risk = 0.025  time = 3747   
150/200   risk = 0.025  time = 3882   
155/200   risk = 0.025  time = 4040   
160/200   risk = 0.025  time = 4198   
165/200   risk = 0.025  time = 4343   
170/200   risk = 0.024  time = 4512   
175/200   risk = 0.024  time = 4644   
180/200   risk = 0.024  time = 4778   
185/200   risk = 0.024  time = 4914   
190/200   risk = 0.024  time = 5044   
195/200   risk = 0.024  time = 5178   
200/200   risk = 0.024  time = 5336   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.024


### [bt]: Job terminated successfully [batchtools job.id=3800]
### [bt]: Calculation finished!
