### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4784]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4784 (seed = 36199) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 5086   
 10/200   risk = 0.085  time = 9643   
 15/200   risk = 0.064  time = 14186   
 20/200   risk = 0.051  time = 18494   
 25/200   risk = 0.042  time = 31694   
 30/200   risk = 0.036  time = 34274   
 35/200   risk = 0.032  time = 42498   
 40/200   risk = 0.03  time = 45484   
 45/200   risk = 0.028  time = 48323   
 50/200   risk = 0.027  time = 50999   
 55/200   risk = 0.026  time = 53499   
 60/200   risk = 0.025  time = 55903   
 65/200   risk = 0.024  time = 60053   
 70/200   risk = 0.024  time = 62916   
 75/200   risk = 0.024  time = 65645   
 80/200   risk = 0.023  time = 68635   
 85/200   risk = 0.023  time = 71516   
 90/200   risk = 0.023  time = 74137   
 95/200   risk = 0.023  time = 76639   
100/200   risk = 0.023  time = 79444   
105/200   risk = 0.023  time = 82428   
110/200   risk = 0.022  time = 85498   
115/200   risk = 0.022  time = 89075   
120/200   risk = 0.022  time = 92931   
125/200   risk = 0.022  time = 96653   
130/200   risk = 0.022  time = 100151   
135/200   risk = 0.022  time = 104176   
140/200   risk = 0.022  time = 141449   
145/200   risk = 0.022  time = 144929   
150/200   risk = 0.022  time = 157810   
155/200   risk = 0.022  time = 161933   
160/200   risk = 0.022  time = 165329   
165/200   risk = 0.022  time = 168651   
170/200   risk = 0.022  time = 172098   
175/200   risk = 0.022  time = 175350   
180/200   risk = 0.022  time = 178572   
185/200   risk = 0.021  time = 181858   
190/200   risk = 0.021  time = 184782   
195/200   risk = 0.021  time = 188076   
200/200   risk = 0.021  time = 190720   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=4784]
### [bt]: Calculation finished!
