### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=579]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 579 (seed = 31994) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.23  time = 272   
 10/200   risk = 0.18  time = 479   
 15/200   risk = 0.16  time = 618   
 20/200   risk = 0.13  time = 763   
 25/200   risk = 0.12  time = 926   
 30/200   risk = 0.11  time = 1063   
 35/200   risk = 0.1  time = 1198   
 40/200   risk = 0.096  time = 1365   
 45/200   risk = 0.092  time = 1524   
 50/200   risk = 0.088  time = 1670   
 55/200   risk = 0.086  time = 1857   
 60/200   risk = 0.084  time = 2003   
 65/200   risk = 0.082  time = 2180   
 70/200   risk = 0.08  time = 2338   
 75/200   risk = 0.079  time = 2494   
 80/200   risk = 0.078  time = 2647   
 85/200   risk = 0.077  time = 2801   
 90/200   risk = 0.077  time = 2954   
 95/200   risk = 0.076  time = 3112   
100/200   risk = 0.075  time = 3257   
105/200   risk = 0.075  time = 3391   
110/200   risk = 0.074  time = 3548   
115/200   risk = 0.074  time = 3712   
120/200   risk = 0.073  time = 3869   
125/200   risk = 0.073  time = 4021   
130/200   risk = 0.072  time = 4213   
135/200   risk = 0.072  time = 4388   
140/200   risk = 0.072  time = 4549   
145/200   risk = 0.071  time = 4742   
150/200   risk = 0.071  time = 4928   
155/200   risk = 0.071  time = 5097   
160/200   risk = 0.07  time = 5268   
165/200   risk = 0.07  time = 5438   
170/200   risk = 0.07  time = 5614   
175/200   risk = 0.069  time = 5782   
180/200   risk = 0.069  time = 5963   
185/200   risk = 0.069  time = 6150   
190/200   risk = 0.069  time = 6323   
195/200   risk = 0.069  time = 6502   
200/200   risk = 0.068  time = 6673   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.068


### [bt]: Job terminated successfully [batchtools job.id=579]
### [bt]: Calculation finished!
