### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=13327]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 13327 (seed = 44742) ...
  1/200   risk = 0.093  time = 0   
  5/200   risk = 0.07  time = 282   
 10/200   risk = 0.051  time = 602   
 15/200   risk = 0.04  time = 889   
 20/200   risk = 0.033  time = 1173   
 25/200   risk = 0.028  time = 1457   
 30/200   risk = 0.025  time = 1742   
 35/200   risk = 0.024  time = 2032   
 40/200   risk = 0.023  time = 2325   
 45/200   risk = 0.022  time = 2617   
 50/200   risk = 0.021  time = 2947   
 55/200   risk = 0.021  time = 3249   
 60/200   risk = 0.021  time = 3561   
 65/200   risk = 0.02  time = 3863   
 70/200   risk = 0.02  time = 4164   
 75/200   risk = 0.02  time = 4464   
 80/200   risk = 0.02  time = 4768   
 85/200   risk = 0.02  time = 5077   
 90/200   risk = 0.02  time = 5380   
 95/200   risk = 0.02  time = 5684   
100/200   risk = 0.02  time = 6009   
105/200   risk = 0.02  time = 6332   
110/200   risk = 0.02  time = 6641   
115/200   risk = 0.02  time = 6969   
120/200   risk = 0.02  time = 7287   
125/200   risk = 0.02  time = 7604   
130/200   risk = 0.02  time = 7930   
135/200   risk = 0.02  time = 8240   
140/200   risk = 0.02  time = 8551   
145/200   risk = 0.019  time = 8873   
150/200   risk = 0.019  time = 9176   
155/200   risk = 0.019  time = 9480   
160/200   risk = 0.019  time = 9809   
165/200   risk = 0.019  time = 10132   
170/200   risk = 0.019  time = 10448   
175/200   risk = 0.019  time = 10765   
180/200   risk = 0.019  time = 11108   
185/200   risk = 0.019  time = 11497   
190/200   risk = 0.019  time = 11831   
195/200   risk = 0.019  time = 12152   
200/200   risk = 0.019  time = 12475   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.019


### [bt]: Job terminated successfully [batchtools job.id=13327]
### [bt]: Calculation finished!
