### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6930]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6930 (seed = 38345) ...
  1/200   risk = 0.18  time = 0   
  5/200   risk = 0.13  time = 320   
 10/200   risk = 0.093  time = 646   
 15/200   risk = 0.069  time = 962   
 20/200   risk = 0.053  time = 1276   
 25/200   risk = 0.044  time = 1610   
 30/200   risk = 0.038  time = 1935   
 35/200   risk = 0.034  time = 2261   
 40/200   risk = 0.031  time = 2607   
 45/200   risk = 0.029  time = 2982   
 50/200   risk = 0.028  time = 3327   
 55/200   risk = 0.027  time = 3663   
 60/200   risk = 0.026  time = 3995   
 65/200   risk = 0.025  time = 4336   
 70/200   risk = 0.025  time = 4668   
 75/200   risk = 0.024  time = 4998   
 80/200   risk = 0.024  time = 5329   
 85/200   risk = 0.024  time = 5683   
 90/200   risk = 0.024  time = 6028   
 95/200   risk = 0.023  time = 6372   
100/200   risk = 0.023  time = 6725   
105/200   risk = 0.023  time = 7076   
110/200   risk = 0.023  time = 7423   
115/200   risk = 0.023  time = 7771   
120/200   risk = 0.022  time = 8122   
125/200   risk = 0.022  time = 8486   
130/200   risk = 0.022  time = 8827   
135/200   risk = 0.022  time = 9169   
140/200   risk = 0.022  time = 9511   
145/200   risk = 0.022  time = 9853   
150/200   risk = 0.022  time = 10204   
155/200   risk = 0.022  time = 10551   
160/200   risk = 0.022  time = 10896   
165/200   risk = 0.022  time = 11305   
170/200   risk = 0.021  time = 11660   
175/200   risk = 0.021  time = 12009   
180/200   risk = 0.021  time = 12358   
185/200   risk = 0.021  time = 12708   
190/200   risk = 0.021  time = 13058   
195/200   risk = 0.021  time = 13421   
200/200   risk = 0.021  time = 13794   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=6930]
### [bt]: Calculation finished!
