### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5214]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5214 (seed = 36629) ...
  1/200   risk = 0.072  time = 0   
  5/200   risk = 0.058  time = 211   
 10/200   risk = 0.046  time = 710   
 15/200   risk = 0.038  time = 912   
 20/200   risk = 0.033  time = 1110   
 25/200   risk = 0.029  time = 1364   
 30/200   risk = 0.027  time = 1581   
 35/200   risk = 0.026  time = 1777   
 40/200   risk = 0.025  time = 1977   
 45/200   risk = 0.024  time = 2174   
 50/200   risk = 0.023  time = 2410   
 55/200   risk = 0.023  time = 2640   
 60/200   risk = 0.023  time = 2902   
 65/200   risk = 0.022  time = 3225   
 70/200   risk = 0.022  time = 3459   
 75/200   risk = 0.022  time = 3720   
 80/200   risk = 0.022  time = 3948   
 85/200   risk = 0.022  time = 4167   
 90/200   risk = 0.022  time = 4413   
 95/200   risk = 0.022  time = 4679   
100/200   risk = 0.022  time = 4928   
105/200   risk = 0.022  time = 5130   
110/200   risk = 0.022  time = 5325   
115/200   risk = 0.022  time = 5529   
120/200   risk = 0.022  time = 5729   
125/200   risk = 0.021  time = 5928   
130/200   risk = 0.021  time = 6135   
135/200   risk = 0.021  time = 6339   
140/200   risk = 0.021  time = 6544   
145/200   risk = 0.021  time = 6749   
150/200   risk = 0.021  time = 7014   
155/200   risk = 0.021  time = 7220   
160/200   risk = 0.021  time = 7436   
165/200   risk = 0.021  time = 7640   
170/200   risk = 0.021  time = 7844   
175/200   risk = 0.021  time = 8048   
180/200   risk = 0.021  time = 8255   
185/200   risk = 0.021  time = 8465   
190/200   risk = 0.021  time = 8704   
195/200   risk = 0.021  time = 8926   
200/200   risk = 0.021  time = 9152   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=5214]
### [bt]: Calculation finished!
