### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1738]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1738 (seed = 33153) ...
  1/200   risk = 0.28  time = 0   
  5/200   risk = 0.24  time = 357   
 10/200   risk = 0.2  time = 753   
 15/200   risk = 0.17  time = 1107   
 20/200   risk = 0.14  time = 1460   
 25/200   risk = 0.13  time = 1807   
 30/200   risk = 0.11  time = 2159   
 35/200   risk = 0.1  time = 2519   
 40/200   risk = 0.096  time = 2890   
 45/200   risk = 0.09  time = 3251   
 50/200   risk = 0.085  time = 3599   
 55/200   risk = 0.081  time = 3950   
 60/200   risk = 0.077  time = 4306   
 65/200   risk = 0.074  time = 4644   
 70/200   risk = 0.072  time = 5009   
 75/200   risk = 0.07  time = 5357   
 80/200   risk = 0.068  time = 5711   
 85/200   risk = 0.067  time = 6079   
 90/200   risk = 0.066  time = 6422   
 95/200   risk = 0.065  time = 6843   
100/200   risk = 0.064  time = 7215   
105/200   risk = 0.063  time = 7602   
110/200   risk = 0.062  time = 7957   
115/200   risk = 0.061  time = 8312   
120/200   risk = 0.061  time = 8686   
125/200   risk = 0.06  time = 9043   
130/200   risk = 0.06  time = 9405   
135/200   risk = 0.059  time = 9761   
140/200   risk = 0.059  time = 10147   
145/200   risk = 0.058  time = 10498   
150/200   risk = 0.058  time = 10860   
155/200   risk = 0.057  time = 11209   
160/200   risk = 0.057  time = 11603   
165/200   risk = 0.057  time = 12125   
170/200   risk = 0.056  time = 12498   
175/200   risk = 0.056  time = 12867   
180/200   risk = 0.056  time = 13246   
185/200   risk = 0.055  time = 13619   
190/200   risk = 0.055  time = 13995   
195/200   risk = 0.055  time = 14363   
200/200   risk = 0.054  time = 14763   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.054


### [bt]: Job terminated successfully [batchtools job.id=1738]
### [bt]: Calculation finished!
