### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=12556]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 12556 (seed = 43971) ...
  1/200   risk = 0.25  time = 0   
  5/200   risk = 0.17  time = 197   
 10/200   risk = 0.11  time = 313   
 15/200   risk = 0.078  time = 421   
 20/200   risk = 0.057  time = 530   
 25/200   risk = 0.043  time = 648   
 30/200   risk = 0.035  time = 780   
 35/200   risk = 0.03  time = 899   
 40/200   risk = 0.027  time = 1028   
 45/200   risk = 0.025  time = 1144   
 50/200   risk = 0.024  time = 1266   
 55/200   risk = 0.023  time = 1384   
 60/200   risk = 0.023  time = 1510   
 65/200   risk = 0.022  time = 1641   
 70/200   risk = 0.022  time = 1764   
 75/200   risk = 0.022  time = 1907   
 80/200   risk = 0.022  time = 2041   
 85/200   risk = 0.022  time = 2170   
 90/200   risk = 0.022  time = 2324   
 95/200   risk = 0.022  time = 2457   
100/200   risk = 0.022  time = 2593   
105/200   risk = 0.022  time = 2732   
110/200   risk = 0.022  time = 2845   
115/200   risk = 0.021  time = 2940   
120/200   risk = 0.021  time = 3032   
125/200   risk = 0.021  time = 3126   
130/200   risk = 0.021  time = 3221   
135/200   risk = 0.021  time = 3315   
140/200   risk = 0.021  time = 3411   
145/200   risk = 0.021  time = 3507   
150/200   risk = 0.021  time = 3604   
155/200   risk = 0.021  time = 3708   
160/200   risk = 0.021  time = 3809   
165/200   risk = 0.021  time = 3910   
170/200   risk = 0.021  time = 4055   
175/200   risk = 0.021  time = 4339   
180/200   risk = 0.021  time = 4484   
185/200   risk = 0.021  time = 4601   
190/200   risk = 0.021  time = 4741   
195/200   risk = 0.021  time = 4873   
200/200   risk = 0.021  time = 4985   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=12556]
### [bt]: Calculation finished!
