### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=2166]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 2166 (seed = 33581) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.24  time = 209   
 10/200   risk = 0.19  time = 351   
 15/200   risk = 0.16  time = 470   
 20/200   risk = 0.14  time = 678   
 25/200   risk = 0.13  time = 798   
 30/200   risk = 0.12  time = 921   
 35/200   risk = 0.11  time = 1062   
 40/200   risk = 0.11  time = 1189   
 45/200   risk = 0.11  time = 1313   
 50/200   risk = 0.1  time = 1443   
 55/200   risk = 0.1  time = 1588   
 60/200   risk = 0.1  time = 1719   
 65/200   risk = 0.099  time = 1846   
 70/200   risk = 0.098  time = 2012   
 75/200   risk = 0.098  time = 2191   
 80/200   risk = 0.098  time = 2339   
 85/200   risk = 0.097  time = 2465   
 90/200   risk = 0.097  time = 2601   
 95/200   risk = 0.097  time = 2730   
100/200   risk = 0.097  time = 2865   
105/200   risk = 0.097  time = 2995   
110/200   risk = 0.097  time = 3128   
115/200   risk = 0.097  time = 3258   
120/200   risk = 0.097  time = 3401   
125/200   risk = 0.097  time = 3557   
130/200   risk = 0.097  time = 3722   
135/200   risk = 0.097  time = 3867   
140/200   risk = 0.097  time = 4010   
145/200   risk = 0.097  time = 4153   
150/200   risk = 0.097  time = 4296   
155/200   risk = 0.097  time = 4460   
160/200   risk = 0.097  time = 4601   
165/200   risk = 0.097  time = 4742   
170/200   risk = 0.097  time = 4888   
175/200   risk = 0.097  time = 5032   
180/200   risk = 0.097  time = 5182   
185/200   risk = 0.097  time = 5372   
190/200   risk = 0.097  time = 5594   
195/200   risk = 0.097  time = 5808   
200/200   risk = 0.097  time = 6044   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.097


### [bt]: Job terminated successfully [batchtools job.id=2166]
### [bt]: Calculation finished!
