### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6520]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 6520 (seed = 37935) ...
  1/200   risk = 0.16  time = 0   
  5/200   risk = 0.12  time = 409   
 10/200   risk = 0.086  time = 808   
 15/200   risk = 0.065  time = 1194   
 20/200   risk = 0.052  time = 1584   
 25/200   risk = 0.043  time = 1990   
 30/200   risk = 0.038  time = 2421   
 35/200   risk = 0.034  time = 2928   
 40/200   risk = 0.031  time = 3578   
 45/200   risk = 0.03  time = 4099   
 50/200   risk = 0.029  time = 4510   
 55/200   risk = 0.028  time = 4913   
 60/200   risk = 0.027  time = 5340   
 65/200   risk = 0.026  time = 5834   
 70/200   risk = 0.026  time = 6412   
 75/200   risk = 0.026  time = 6853   
 80/200   risk = 0.025  time = 7238   
 85/200   risk = 0.025  time = 7620   
 90/200   risk = 0.025  time = 8068   
 95/200   risk = 0.024  time = 8489   
100/200   risk = 0.024  time = 8894   
105/200   risk = 0.024  time = 9425   
110/200   risk = 0.024  time = 9830   
115/200   risk = 0.023  time = 10306   
120/200   risk = 0.023  time = 10740   
125/200   risk = 0.023  time = 11135   
130/200   risk = 0.023  time = 11544   
135/200   risk = 0.023  time = 11985   
140/200   risk = 0.023  time = 12392   
145/200   risk = 0.022  time = 12789   
150/200   risk = 0.022  time = 13359   
155/200   risk = 0.022  time = 13744   
160/200   risk = 0.022  time = 14127   
165/200   risk = 0.022  time = 14510   
170/200   risk = 0.022  time = 14910   
175/200   risk = 0.022  time = 15343   
180/200   risk = 0.022  time = 15811   
185/200   risk = 0.022  time = 16290   
190/200   risk = 0.021  time = 16682   
195/200   risk = 0.021  time = 17070   
200/200   risk = 0.021  time = 17483   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=6520]
### [bt]: Calculation finished!
