### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=1391]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 1391 (seed = 32806) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.22  time = 182   
 10/200   risk = 0.18  time = 311   
 15/200   risk = 0.15  time = 448   
 20/200   risk = 0.13  time = 548   
 25/200   risk = 0.11  time = 673   
 30/200   risk = 0.099  time = 784   
 35/200   risk = 0.09  time = 900   
 40/200   risk = 0.084  time = 1012   
 45/200   risk = 0.079  time = 1127   
 50/200   risk = 0.076  time = 1239   
 55/200   risk = 0.073  time = 1347   
 60/200   risk = 0.07  time = 1455   
 65/200   risk = 0.068  time = 1591   
 70/200   risk = 0.067  time = 1703   
 75/200   risk = 0.065  time = 1811   
 80/200   risk = 0.064  time = 1919   
 85/200   risk = 0.063  time = 2027   
 90/200   risk = 0.062  time = 2147   
 95/200   risk = 0.061  time = 2258   
100/200   risk = 0.06  time = 2374   
105/200   risk = 0.06  time = 2486   
110/200   risk = 0.059  time = 2600   
115/200   risk = 0.059  time = 2721   
120/200   risk = 0.058  time = 2837   
125/200   risk = 0.058  time = 2957   
130/200   risk = 0.057  time = 3088   
135/200   risk = 0.057  time = 3207   
140/200   risk = 0.056  time = 3344   
145/200   risk = 0.056  time = 3512   
150/200   risk = 0.056  time = 3640   
155/200   risk = 0.055  time = 3792   
160/200   risk = 0.055  time = 3941   
165/200   risk = 0.055  time = 4085   
170/200   risk = 0.054  time = 4211   
175/200   risk = 0.054  time = 4339   
180/200   risk = 0.054  time = 4462   
185/200   risk = 0.054  time = 4606   
190/200   risk = 0.053  time = 4736   
195/200   risk = 0.053  time = 4877   
200/200   risk = 0.053  time = 5011   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.053


### [bt]: Job terminated successfully [batchtools job.id=1391]
### [bt]: Calculation finished!
