### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8206]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8206 (seed = 39621) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.2  time = 1521   
 10/200   risk = 0.13  time = 3440   
 15/200   risk = 0.092  time = 5165   
 20/200   risk = 0.066  time = 6995   
 25/200   risk = 0.05  time = 8848   
 30/200   risk = 0.04  time = 10843   
 35/200   risk = 0.034  time = 13006   
 40/200   risk = 0.03  time = 14858   
 45/200   risk = 0.027  time = 16795   
 50/200   risk = 0.026  time = 18582   
 55/200   risk = 0.025  time = 20370   
 60/200   risk = 0.024  time = 22170   
 65/200   risk = 0.023  time = 24108   
 70/200   risk = 0.023  time = 26224   
 75/200   risk = 0.023  time = 28265   
 80/200   risk = 0.022  time = 30165   
 85/200   risk = 0.022  time = 31973   
 90/200   risk = 0.022  time = 33783   
 95/200   risk = 0.022  time = 35497   
100/200   risk = 0.022  time = 37307   
105/200   risk = 0.022  time = 39182   
110/200   risk = 0.022  time = 41090   
115/200   risk = 0.022  time = 43713   
120/200   risk = 0.022  time = 46940   
125/200   risk = 0.022  time = 50257   
130/200   risk = 0.021  time = 53541   
135/200   risk = 0.021  time = 56840   
140/200   risk = 0.021  time = 59065   
145/200   risk = 0.021  time = 60907   
150/200   risk = 0.021  time = 62742   
155/200   risk = 0.021  time = 64570   
160/200   risk = 0.021  time = 66339   
165/200   risk = 0.021  time = 68126   
170/200   risk = 0.021  time = 69934   
175/200   risk = 0.021  time = 71724   
180/200   risk = 0.021  time = 73553   
185/200   risk = 0.021  time = 75316   
190/200   risk = 0.021  time = 77134   
195/200   risk = 0.021  time = 78953   
200/200   risk = 0.021  time = 80773   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=8206]
### [bt]: Calculation finished!
