### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=4605]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 4605 (seed = 36020) ...
  1/200   risk = 0.15  time = 0   
  5/200   risk = 0.11  time = 1328   
 10/200   risk = 0.083  time = 2852   
 15/200   risk = 0.063  time = 4378   
 20/200   risk = 0.05  time = 5894   
 25/200   risk = 0.041  time = 7503   
 30/200   risk = 0.035  time = 9062   
 35/200   risk = 0.031  time = 10599   
 40/200   risk = 0.029  time = 12070   
 45/200   risk = 0.027  time = 13536   
 50/200   risk = 0.026  time = 15015   
 55/200   risk = 0.025  time = 16520   
 60/200   risk = 0.024  time = 18045   
 65/200   risk = 0.023  time = 19525   
 70/200   risk = 0.023  time = 21001   
 75/200   risk = 0.023  time = 22559   
 80/200   risk = 0.022  time = 24040   
 85/200   risk = 0.022  time = 25533   
 90/200   risk = 0.022  time = 27017   
 95/200   risk = 0.022  time = 28584   
100/200   risk = 0.022  time = 30017   
105/200   risk = 0.022  time = 31469   
110/200   risk = 0.022  time = 32915   
115/200   risk = 0.021  time = 34391   
120/200   risk = 0.021  time = 35931   
125/200   risk = 0.021  time = 37425   
130/200   risk = 0.021  time = 38865   
135/200   risk = 0.021  time = 40319   
140/200   risk = 0.021  time = 41762   
145/200   risk = 0.021  time = 43264   
150/200   risk = 0.021  time = 44714   
155/200   risk = 0.021  time = 46152   
160/200   risk = 0.021  time = 47605   
165/200   risk = 0.021  time = 49045   
170/200   risk = 0.021  time = 50479   
175/200   risk = 0.021  time = 51932   
180/200   risk = 0.021  time = 53373   
185/200   risk = 0.021  time = 54829   
190/200   risk = 0.021  time = 56329   
195/200   risk = 0.021  time = 57870   
200/200   risk = 0.021  time = 59376   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=4605]
### [bt]: Calculation finished!
