### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=13314]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 13314 (seed = 44729) ...
  1/200   risk = 0.099  time = 0   
  5/200   risk = 0.075  time = 490   
 10/200   risk = 0.055  time = 795   
 15/200   risk = 0.042  time = 1108   
 20/200   risk = 0.034  time = 1417   
 25/200   risk = 0.03  time = 1700   
 30/200   risk = 0.027  time = 1983   
 35/200   risk = 0.025  time = 2268   
 40/200   risk = 0.023  time = 2560   
 45/200   risk = 0.023  time = 2848   
 50/200   risk = 0.022  time = 3134   
 55/200   risk = 0.022  time = 3435   
 60/200   risk = 0.021  time = 3737   
 65/200   risk = 0.021  time = 4027   
 70/200   risk = 0.021  time = 4329   
 75/200   risk = 0.021  time = 4679   
 80/200   risk = 0.021  time = 5035   
 85/200   risk = 0.021  time = 5339   
 90/200   risk = 0.021  time = 5638   
 95/200   risk = 0.021  time = 5938   
100/200   risk = 0.021  time = 6237   
105/200   risk = 0.02  time = 6554   
110/200   risk = 0.02  time = 6874   
115/200   risk = 0.02  time = 7267   
120/200   risk = 0.02  time = 7588   
125/200   risk = 0.02  time = 7933   
130/200   risk = 0.02  time = 8287   
135/200   risk = 0.02  time = 8673   
140/200   risk = 0.02  time = 9014   
145/200   risk = 0.02  time = 9353   
150/200   risk = 0.02  time = 9692   
155/200   risk = 0.02  time = 10034   
160/200   risk = 0.02  time = 10376   
165/200   risk = 0.02  time = 10719   
170/200   risk = 0.02  time = 11128   
175/200   risk = 0.02  time = 11477   
180/200   risk = 0.02  time = 11824   
185/200   risk = 0.02  time = 12249   
190/200   risk = 0.02  time = 12642   
195/200   risk = 0.02  time = 12996   
200/200   risk = 0.02  time = 13345   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=13314]
### [bt]: Calculation finished!
