### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=8559]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 8559 (seed = 39974) ...
  1/200   risk = 0.19  time = 0   
  5/200   risk = 0.14  time = 134   
 10/200   risk = 0.094  time = 239   
 15/200   risk = 0.069  time = 360   
 20/200   risk = 0.053  time = 463   
 25/200   risk = 0.043  time = 558   
 30/200   risk = 0.037  time = 652   
 35/200   risk = 0.033  time = 748   
 40/200   risk = 0.03  time = 842   
 45/200   risk = 0.028  time = 936   
 50/200   risk = 0.027  time = 1036   
 55/200   risk = 0.027  time = 1134   
 60/200   risk = 0.026  time = 1237   
 65/200   risk = 0.026  time = 1338   
 70/200   risk = 0.025  time = 1437   
 75/200   risk = 0.025  time = 1537   
 80/200   risk = 0.025  time = 1656   
 85/200   risk = 0.025  time = 1768   
 90/200   risk = 0.025  time = 1876   
 95/200   risk = 0.025  time = 1987   
100/200   risk = 0.024  time = 2099   
105/200   risk = 0.024  time = 2212   
110/200   risk = 0.024  time = 2369   
115/200   risk = 0.024  time = 2501   
120/200   risk = 0.024  time = 2632   
125/200   risk = 0.024  time = 2778   
130/200   risk = 0.024  time = 2911   
135/200   risk = 0.024  time = 3028   
140/200   risk = 0.024  time = 3145   
145/200   risk = 0.024  time = 3262   
150/200   risk = 0.024  time = 3379   
155/200   risk = 0.024  time = 3497   
160/200   risk = 0.024  time = 3630   
165/200   risk = 0.024  time = 3748   
170/200   risk = 0.024  time = 3865   
175/200   risk = 0.024  time = 3984   
180/200   risk = 0.024  time = 4105   
185/200   risk = 0.024  time = 4227   
190/200   risk = 0.023  time = 4348   
195/200   risk = 0.023  time = 4489   
200/200   risk = 0.023  time = 4631   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.023


### [bt]: Job terminated successfully [batchtools job.id=8559]
### [bt]: Calculation finished!
