### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5147]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5147 (seed = 36562) ...
  1/200   risk = 0.11  time = 0   
  5/200   risk = 0.087  time = 3510   
 10/200   risk = 0.064  time = 7683   
 15/200   risk = 0.05  time = 11657   
 20/200   risk = 0.041  time = 15634   
 25/200   risk = 0.034  time = 19599   
 30/200   risk = 0.03  time = 23502   
 35/200   risk = 0.028  time = 27443   
 40/200   risk = 0.026  time = 31362   
 45/200   risk = 0.025  time = 35241   
 50/200   risk = 0.024  time = 39107   
 55/200   risk = 0.023  time = 42991   
 60/200   risk = 0.023  time = 46834   
 65/200   risk = 0.022  time = 50686   
 70/200   risk = 0.022  time = 54555   
 75/200   risk = 0.022  time = 58475   
 80/200   risk = 0.022  time = 62497   
 85/200   risk = 0.021  time = 66426   
 90/200   risk = 0.021  time = 70325   
 95/200   risk = 0.021  time = 74225   
100/200   risk = 0.021  time = 78211   
105/200   risk = 0.021  time = 82083   
110/200   risk = 0.021  time = 86017   
115/200   risk = 0.021  time = 90186   
120/200   risk = 0.021  time = 94427   
125/200   risk = 0.021  time = 98495   
130/200   risk = 0.021  time = 102545   
135/200   risk = 0.021  time = 106577   
140/200   risk = 0.021  time = 110558   
145/200   risk = 0.021  time = 114480   
150/200   risk = 0.021  time = 118426   
155/200   risk = 0.021  time = 122276   
160/200   risk = 0.02  time = 126307   
165/200   risk = 0.02  time = 130298   
170/200   risk = 0.02  time = 134078   
175/200   risk = 0.02  time = 137909   
180/200   risk = 0.02  time = 141691   
185/200   risk = 0.02  time = 145473   
190/200   risk = 0.02  time = 149341   
195/200   risk = 0.02  time = 153012   
200/200   risk = 0.02  time = 156637   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.02


### [bt]: Job terminated successfully [batchtools job.id=5147]
### [bt]: Calculation finished!
