### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=10429]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 10429 (seed = 41844) ...
  1/200   risk = 0.22  time = 0   
  5/200   risk = 0.16  time = 203   
 10/200   risk = 0.1  time = 381   
 15/200   risk = 0.074  time = 551   
 20/200   risk = 0.055  time = 718   
 25/200   risk = 0.043  time = 885   
 30/200   risk = 0.036  time = 1055   
 35/200   risk = 0.031  time = 1226   
 40/200   risk = 0.028  time = 1401   
 45/200   risk = 0.027  time = 1576   
 50/200   risk = 0.025  time = 1752   
 55/200   risk = 0.025  time = 1926   
 60/200   risk = 0.024  time = 2124   
 65/200   risk = 0.024  time = 2306   
 70/200   risk = 0.024  time = 2483   
 75/200   risk = 0.023  time = 2660   
 80/200   risk = 0.023  time = 2862   
 85/200   risk = 0.023  time = 3067   
 90/200   risk = 0.023  time = 3240   
 95/200   risk = 0.023  time = 3412   
100/200   risk = 0.023  time = 3585   
105/200   risk = 0.023  time = 3758   
110/200   risk = 0.023  time = 3944   
115/200   risk = 0.023  time = 4122   
120/200   risk = 0.022  time = 4297   
125/200   risk = 0.022  time = 4474   
130/200   risk = 0.022  time = 4667   
135/200   risk = 0.022  time = 4847   
140/200   risk = 0.022  time = 5028   
145/200   risk = 0.022  time = 5222   
150/200   risk = 0.022  time = 5411   
155/200   risk = 0.022  time = 5593   
160/200   risk = 0.022  time = 5775   
165/200   risk = 0.022  time = 5960   
170/200   risk = 0.022  time = 6169   
175/200   risk = 0.022  time = 6362   
180/200   risk = 0.022  time = 6552   
185/200   risk = 0.022  time = 6742   
190/200   risk = 0.022  time = 6934   
195/200   risk = 0.022  time = 7141   
200/200   risk = 0.022  time = 7372   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.022


### [bt]: Job terminated successfully [batchtools job.id=10429]
### [bt]: Calculation finished!
