### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=5907]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 5907 (seed = 37322) ...
  1/200   risk = 0.27  time = 0   
  5/200   risk = 0.2  time = 3463   
 10/200   risk = 0.14  time = 7308   
 15/200   risk = 0.098  time = 11631   
 20/200   risk = 0.073  time = 15448   
 25/200   risk = 0.056  time = 19219   
 30/200   risk = 0.045  time = 22818   
 35/200   risk = 0.038  time = 26545   
 40/200   risk = 0.033  time = 30642   
 45/200   risk = 0.03  time = 34411   
 50/200   risk = 0.028  time = 38528   
 55/200   risk = 0.026  time = 42435   
 60/200   risk = 0.025  time = 46529   
 65/200   risk = 0.024  time = 50444   
 70/200   risk = 0.024  time = 54524   
 75/200   risk = 0.023  time = 58530   
 80/200   risk = 0.023  time = 62565   
 85/200   risk = 0.023  time = 66899   
 90/200   risk = 0.022  time = 70953   
 95/200   risk = 0.022  time = 75495   
100/200   risk = 0.022  time = 80084   
105/200   risk = 0.022  time = 84584   
110/200   risk = 0.022  time = 88924   
115/200   risk = 0.022  time = 93407   
120/200   risk = 0.022  time = 98094   
125/200   risk = 0.022  time = 102401   
130/200   risk = 0.022  time = 106551   
135/200   risk = 0.022  time = 110433   
140/200   risk = 0.022  time = 115655   
145/200   risk = 0.022  time = 120384   
150/200   risk = 0.022  time = 124255   
155/200   risk = 0.022  time = 128818   
160/200   risk = 0.022  time = 133921   
165/200   risk = 0.021  time = 137879   
170/200   risk = 0.021  time = 142133   
175/200   risk = 0.021  time = 146224   
180/200   risk = 0.021  time = 151320   
185/200   risk = 0.021  time = 155673   
190/200   risk = 0.021  time = 159585   
195/200   risk = 0.021  time = 164413   
200/200   risk = 0.021  time = 168389   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=5907]
### [bt]: Calculation finished!
