### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=2811]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 2811 (seed = 34226) ...
  1/200   risk = 0.29  time = 0   
  5/200   risk = 0.24  time = 266   
 10/200   risk = 0.21  time = 525   
 15/200   risk = 0.18  time = 744   
 20/200   risk = 0.16  time = 939   
 25/200   risk = 0.14  time = 1129   
 30/200   risk = 0.13  time = 1317   
 35/200   risk = 0.12  time = 1509   
 40/200   risk = 0.11  time = 1699   
 45/200   risk = 0.1  time = 1891   
 50/200   risk = 0.098  time = 2083   
 55/200   risk = 0.094  time = 2271   
 60/200   risk = 0.091  time = 2470   
 65/200   risk = 0.088  time = 2666   
 70/200   risk = 0.085  time = 2859   
 75/200   risk = 0.083  time = 3050   
 80/200   risk = 0.081  time = 3265   
 85/200   risk = 0.08  time = 3463   
 90/200   risk = 0.078  time = 3661   
 95/200   risk = 0.077  time = 3862   
100/200   risk = 0.076  time = 4061   
105/200   risk = 0.075  time = 4264   
110/200   risk = 0.075  time = 4465   
115/200   risk = 0.074  time = 4669   
120/200   risk = 0.073  time = 4871   
125/200   risk = 0.073  time = 5126   
130/200   risk = 0.072  time = 5330   
135/200   risk = 0.072  time = 5529   
140/200   risk = 0.071  time = 5726   
145/200   risk = 0.071  time = 5927   
150/200   risk = 0.071  time = 6129   
155/200   risk = 0.07  time = 6332   
160/200   risk = 0.07  time = 6578   
165/200   risk = 0.07  time = 6791   
170/200   risk = 0.069  time = 6997   
175/200   risk = 0.069  time = 7204   
180/200   risk = 0.069  time = 7411   
185/200   risk = 0.069  time = 7621   
190/200   risk = 0.068  time = 7828   
195/200   risk = 0.068  time = 8038   
200/200   risk = 0.068  time = 8251   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.068


### [bt]: Job terminated successfully [batchtools job.id=2811]
### [bt]: Calculation finished!
