### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7956]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 7956 (seed = 39371) ...
  1/200   risk = 0.17  time = 0   
  5/200   risk = 0.13  time = 8480   
 10/200   risk = 0.09  time = 18967   
 15/200   risk = 0.066  time = 21248   
 20/200   risk = 0.051  time = 23156   
 25/200   risk = 0.041  time = 25278   
 30/200   risk = 0.034  time = 27515   
 35/200   risk = 0.03  time = 30162   
 40/200   risk = 0.027  time = 32129   
 45/200   risk = 0.025  time = 34299   
 50/200   risk = 0.024  time = 44489   
 55/200   risk = 0.023  time = 48173   
 60/200   risk = 0.023  time = 50939   
 65/200   risk = 0.022  time = 61344   
 70/200   risk = 0.022  time = 64288   
 75/200   risk = 0.022  time = 66947   
 80/200   risk = 0.022  time = 69830   
 85/200   risk = 0.021  time = 72430   
 90/200   risk = 0.021  time = 75406   
 95/200   risk = 0.021  time = 78600   
100/200   risk = 0.021  time = 81547   
105/200   risk = 0.021  time = 90565   
110/200   risk = 0.021  time = 93275   
115/200   risk = 0.021  time = 96168   
120/200   risk = 0.021  time = 98950   
125/200   risk = 0.021  time = 101961   
130/200   risk = 0.021  time = 105306   
135/200   risk = 0.021  time = 107864   
140/200   risk = 0.021  time = 117779   
145/200   risk = 0.021  time = 120393   
150/200   risk = 0.021  time = 123088   
155/200   risk = 0.021  time = 126011   
160/200   risk = 0.021  time = 128984   
165/200   risk = 0.021  time = 131975   
170/200   risk = 0.021  time = 134670   
175/200   risk = 0.021  time = 146197   
180/200   risk = 0.021  time = 149046   
185/200   risk = 0.021  time = 152014   
190/200   risk = 0.021  time = 154881   
195/200   risk = 0.021  time = 157663   
200/200   risk = 0.021  time = 160324   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.021


### [bt]: Job terminated successfully [batchtools job.id=7956]
### [bt]: Calculation finished!
