### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/daniel/temp/cacb-revision'
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=870]
### [bt]: Generating problem instance for problem 'simdat' ...
### [bt]: Applying algorithm 'cwb' on problem 'simdat' for job 870 (seed = 32285) ...
  1/200   risk = 0.3  time = 0   
  5/200   risk = 0.25  time = 155   
 10/200   risk = 0.21  time = 284   
 15/200   risk = 0.19  time = 416   
 20/200   risk = 0.18  time = 516   
 25/200   risk = 0.17  time = 610   
 30/200   risk = 0.16  time = 706   
 35/200   risk = 0.16  time = 805   
 40/200   risk = 0.16  time = 904   
 45/200   risk = 0.16  time = 1011   
 50/200   risk = 0.16  time = 1111   
 55/200   risk = 0.16  time = 1218   
 60/200   risk = 0.16  time = 1327   
 65/200   risk = 0.16  time = 1435   
 70/200   risk = 0.16  time = 1553   
 75/200   risk = 0.16  time = 1655   
 80/200   risk = 0.16  time = 1760   
 85/200   risk = 0.16  time = 1864   
 90/200   risk = 0.16  time = 1967   
 95/200   risk = 0.16  time = 2070   
100/200   risk = 0.16  time = 2173   
105/200   risk = 0.16  time = 2280   
110/200   risk = 0.16  time = 2391   
115/200   risk = 0.16  time = 2503   
120/200   risk = 0.16  time = 2612   
125/200   risk = 0.16  time = 2721   
130/200   risk = 0.16  time = 2839   
135/200   risk = 0.16  time = 2954   
140/200   risk = 0.16  time = 3071   
145/200   risk = 0.16  time = 3192   
150/200   risk = 0.16  time = 3312   
155/200   risk = 0.16  time = 3431   
160/200   risk = 0.16  time = 3565   
165/200   risk = 0.16  time = 3691   
170/200   risk = 0.16  time = 3828   
175/200   risk = 0.16  time = 3958   
180/200   risk = 0.16  time = 4089   
185/200   risk = 0.16  time = 4221   
190/200   risk = 0.16  time = 4347   
195/200   risk = 0.16  time = 4472   
200/200   risk = 0.16  time = 4596   


Train 200 iterations in 0 Seconds.
Final risk based on the train set: 0.16


### [bt]: Job terminated successfully [batchtools job.id=870]
### [bt]: Calculation finished!
